     #Energy       W_all      Mo_all      Ti_all      Rh_all
   -77.06973     0.00000     0.00000     0.00000     0.00000
   -77.05873     0.00000     0.00000     0.00000     0.00000
   -77.04773     0.00000     0.00000     0.00000     0.00000
   -77.03673     0.00000     0.00000     0.00000     0.00000
   -77.02573     0.00000     0.00000     0.00000     0.00000
   -77.01473     0.00000     0.00000     0.00000     0.00000
   -77.00373     0.00000     0.00000     0.00000     0.00000
   -76.99273     0.00000     0.00000     0.00000     0.00000
   -76.98173     0.00000     0.00000     0.00000     0.00000
   -76.97073     0.00000     0.00000     0.00000     0.00000
   -76.95973     0.00000     0.00000     0.00000     0.00000
   -76.94773     0.00000     0.00000     0.00000     0.00000
   -76.93673     0.00000     0.00000     0.00000     0.00000
   -76.92573     0.00000     0.00000     0.00000     0.00000
   -76.91473     0.00000     0.00000     0.00000     0.00000
   -76.90373     0.00000     0.00000     0.00000     0.00000
   -76.89273     0.00000     0.00000     0.00000     0.00000
   -76.88173     0.00000     0.00000     0.00000     0.00000
   -76.87073     0.00000     0.00000     0.00000     0.00000
   -76.85973     0.00000     0.00000     0.00000     0.00000
   -76.84873     0.00000     0.00000     0.00000     0.00000
   -76.83773     0.00000     0.00000     0.00000     0.00000
   -76.82573     0.00000     0.00000     0.00000     0.00000
   -76.81473     0.00000     0.00000     0.00000     0.00000
   -76.80373     0.00000     0.00000     0.00000     0.00000
   -76.79273     0.00000     0.00000     0.00000     0.00000
   -76.78173     0.00000     0.00000     0.00000     0.00000
   -76.77073     0.00000     0.00000     0.00000     0.00000
   -76.75973     0.00000     0.00000     0.00000     0.00000
   -76.74873     0.00000     0.00000     0.00000     0.00000
   -76.73773     0.00000     0.00000     0.00000     0.00000
   -76.72673     0.00000     0.00000     0.00000     0.00000
   -76.71573     0.00000     0.00000     0.00000     0.00000
   -76.70473     0.00000     0.00000     0.00000     0.00000
   -76.69273     0.00000     0.00000     0.00000     0.00000
   -76.68173     0.00000     0.00000     0.00000     0.00000
   -76.67073     0.00000     0.00000     0.00000     0.00000
   -76.65973     0.00000     0.00000     0.00000     0.00000
   -76.64873     0.00000     0.00000     0.00000     0.00000
   -76.63773     0.00000     0.00000     0.00000     0.00000
   -76.62673     0.00000     0.00000     0.00000     0.00000
   -76.61573     0.00000     0.00000     0.00000     0.00000
   -76.60473     0.00000     0.00000     0.00000     0.00000
   -76.59373     0.00000     0.00000     0.00000     0.00000
   -76.58273     0.00000     0.00000     0.00000     0.00000
   -76.57073     0.00000     0.00000     0.00000     0.00000
   -76.55973     0.00000     0.00000     0.00000     0.00000
   -76.54873     0.00000     0.00000     0.00000     0.00000
   -76.53773     0.00000     0.00000     0.00000     0.00000
   -76.52673     0.00000     0.00000     0.00000     0.00000
   -76.51573     0.00000     0.00000     0.00000     0.00000
   -76.50473     0.00000     0.00000     0.00000     0.00000
   -76.49373     0.00000     0.00000     0.00000     0.00000
   -76.48273     0.00000     0.00000     0.00000     0.00000
   -76.47173     0.00000     0.00000     0.00000     0.00000
   -76.46073     0.00000     0.00000     0.00000     0.00000
   -76.44873     0.00000     0.00000     0.00000     0.00000
   -76.43773     0.00000     0.00000     0.00000     0.00000
   -76.42673     0.00000     0.00000     0.00000     0.00000
   -76.41573     0.00000     0.00000     0.00000     0.00000
   -76.40473     0.00000     0.00000     0.00000     0.00000
   -76.39373     0.00000     0.00000     0.00000     0.00000
   -76.38273     0.00000     0.00000     0.00000     0.00000
   -76.37173     0.00000     0.00000     0.00000     0.00000
   -76.36073     0.00000     0.00000     0.00000     0.00000
   -76.34973     0.00000     0.00000     0.00000     0.00000
   -76.33873     0.00000     0.00000     0.00000     0.00000
   -76.32773     0.00000     0.00000     0.00000     0.00000
   -76.31573     0.00000     0.00000     0.00000     0.00000
   -76.30473     0.00000     0.00000     0.00000     0.00000
   -76.29373     0.00000     0.00000     0.00000     0.00000
   -76.28273     0.00000     0.00000     0.00000     0.00000
   -76.27173     0.00000     0.00000     0.00000     0.00000
   -76.26073     0.00000     0.00000     0.00000     0.00000
   -76.24973     0.00000     0.00000     0.00000     0.00000
   -76.23873     0.00000     0.00000     0.00000     0.00000
   -76.22773     0.00000     0.00000     0.00000     0.00000
   -76.21673     0.00000     0.00000     0.00000     0.00000
   -76.20573     0.00000     0.00000     0.00000     0.00000
   -76.19373     0.00000     0.00000     0.00000     0.00000
   -76.18273     0.00000     0.00000     0.00000     0.00000
   -76.17173     0.00000     0.00000     0.00000     0.00000
   -76.16073     0.00000     0.00000     0.00000     0.00000
   -76.14973     0.00000     0.00000     0.00000     0.00000
   -76.13873     0.00000     0.00000     0.00000     0.00000
