     #Energy       W_all      Mo_all      Ti_all      Os_all
   -75.97948     0.00000     0.00000     0.00000     0.00000
   -75.96848     0.00000     0.00000     0.00000     0.00000
   -75.95848     0.00000     0.00000     0.00000     0.00000
   -75.94748     0.00000     0.00000     0.00000     0.00000
   -75.93648     0.00000     0.00000     0.00000     0.00000
   -75.92648     0.00000     0.00000     0.00000     0.00000
   -75.91548     0.00000     0.00000     0.00000     0.00000
   -75.90448     0.00000     0.00000     0.00000     0.00000
   -75.89448     0.00000     0.00000     0.00000     0.00000
   -75.88348     0.00000     0.00000     0.00000     0.00000
   -75.87248     0.00000     0.00000     0.00000     0.00000
   -75.86148     0.00000     0.00000     0.00000     0.00000
   -75.85148     0.00000     0.00000     0.00000     0.00000
   -75.84048     0.00000     0.00000     0.00000     0.00000
   -75.82948     0.00000     0.00000     0.00000     0.00000
   -75.81948     0.00000     0.00000     0.00000     0.00000
   -75.80848     0.00000     0.00000     0.00000     0.00000
   -75.79748     0.00000     0.00000     0.00000     0.00000
   -75.78748     0.00000     0.00000     0.00000     0.00000
   -75.77648     0.00000     0.00000     0.00000     0.00000
   -75.76548     0.00000     0.00000     0.00000     0.00000
   -75.75448     0.00000     0.00000     0.00000     0.00000
   -75.74448     0.00000     0.00000     0.00000     0.00000
   -75.73348     0.00000     0.00000     0.00000     0.00000
   -75.72248     0.00000     0.00000     0.00000     0.00000
   -75.71248     0.00000     0.00000     0.00000     0.00000
   -75.70148     0.00000     0.00000     0.00000     0.00000
   -75.69048     0.00000     0.00000     0.00000     0.00000
   -75.68048     0.00000     0.00000     0.00000     0.00000
   -75.66948     0.00000     0.00000     0.00000     0.00000
   -75.65848     0.00000     0.00000     0.00000     0.00000
   -75.64748     0.00000     0.00000     0.00000     0.00000
   -75.63748     0.00000     0.00000     0.00000     0.00000
   -75.62648     0.00000     0.00000     0.00000     0.00000
   -75.61548     0.00000     0.00000     0.00000     0.00000
   -75.60548     0.00000     0.00000     0.00000     0.00000
   -75.59448     0.00000     0.00000     0.00000     0.00000
   -75.58348     0.00000     0.00000     0.00000     0.00000
   -75.57348     0.00000     0.00000     0.00000     0.00000
   -75.56248     0.00000     0.00000     0.00000     0.00000
   -75.55148     0.00000     0.00000     0.00000     0.00000
   -75.54048     0.00000     0.00000     0.00000     0.00000
   -75.53048     0.00000     0.00000     0.00000     0.00000
   -75.51948     0.00000     0.00000     0.00000     0.00000
   -75.50848     0.00000     0.00000     0.00000     0.00000
   -75.49848     0.00000     0.00000     0.00000     0.00000
   -75.48748     0.00000     0.00000     0.00000     0.00000
   -75.47648     0.00000     0.00000     0.00000     0.00000
   -75.46648     0.00000     0.00000     0.00000     0.00000
   -75.45548     0.00000     0.00000     0.00000     0.00000
   -75.44448     0.00000     0.00000     0.00000     0.00000
   -75.43348     0.00000     0.00000     0.00000     0.00000
   -75.42348     0.00000     0.00000     0.00000     0.00000
   -75.41248     0.00000     0.00000     0.00000     0.00000
   -75.40148     0.00000     0.00000     0.00000     0.00000
   -75.39148     0.00000     0.00000     0.00000     0.00000
   -75.38048     0.00000     0.00000     0.00000     0.00000
   -75.36948     0.00000     0.00000     0.00000     0.00000
   -75.35948     0.00000     0.00000     0.00000     0.00000
   -75.34848     0.00000     0.00000     0.00000     0.00000
   -75.33748     0.00000     0.00000     0.00000     0.00000
   -75.32648     0.00000     0.00000     0.00000     0.00000
   -75.31648     0.00000     0.00000     0.00000     0.00000
   -75.30548     0.00000     0.00000     0.00000     0.00000
   -75.29448     0.00000     0.00000     0.00000     0.00000
   -75.28448     0.00000     0.00000     0.00000     0.00000
   -75.27348     0.00000     0.00000     0.00000     0.00000
   -75.26248     0.00000     0.00000     0.00000     0.00000
   -75.25248     0.00000     0.00000     0.00000     0.00000
   -75.24148     0.00000     0.00000     0.00000     0.00000
   -75.23048     0.00000     0.00000     0.00000     0.00000
   -75.21948     0.00000     0.00000     0.00000     0.00000
   -75.20948     0.00000     0.00000     0.00000     0.00000
   -75.19848     0.00000     0.00000     0.00000     0.00000
   -75.18748     0.00000     0.00000     0.00000     0.00000
   -75.17748     0.00000     0.00000     0.00000     0.00000
   -75.16648     0.00000     0.00000     0.00000     0.00000
   -75.15548     0.00000     0.00000     0.00000     0.00000
   -75.14548     0.00000     0.00000     0.00000     0.00000
   -75.13448     0.00000     0.00000     0.00000     0.00000
   -75.12348     0.00000     0.00000     0.00000     0.00000
   -75.11248     0.00000     0.00000     0.00000     0.00000
   -75.10248     0.00000     0.00000     0.00000     0.00000
   -75.09148     0.00000     0.00000     0.00000     0.00000
   -75.08048     0.00000     0.00000     0.00000     0.00000
   -75.07048     0.00000     0.00000     0.00000     0.00000
   -75.05948     0.00000     0.00000     0.00000     0.00000
