     #Energy       W_all      Mo_all      Ru_all      Hf_all
   -75.93317     0.00000     0.00000     0.00000     0.00000
   -75.92217     0.00000     0.00000     0.00000     0.00000
   -75.91117     0.00000     0.00000     0.00000     0.00000
   -75.90017     0.00000     0.00000     0.00000     0.00000
   -75.88917     0.00000     0.00000     0.00000     0.00000
   -75.87817     0.00000     0.00000     0.00000     0.00000
   -75.86817     0.00000     0.00000     0.00000     0.00000
   -75.85717     0.00000     0.00000     0.00000     0.00000
   -75.84617     0.00000     0.00000     0.00000     0.00000
   -75.83517     0.00000     0.00000     0.00000     0.00000
   -75.82417     0.00000     0.00000     0.00000     0.00000
   -75.81317     0.00000     0.00000     0.00000     0.00000
   -75.80217     0.00000     0.00000     0.00000     0.00000
   -75.79217     0.00000     0.00000     0.00000     0.00000
   -75.78117     0.00000     0.00000     0.00000     0.00000
   -75.77017     0.00000     0.00000     0.00000     0.00000
   -75.75917     0.00000     0.00000     0.00000     0.00000
   -75.74817     0.00000     0.00000     0.00000     0.00000
   -75.73717     0.00000     0.00000     0.00000     0.00000
   -75.72717     0.00000     0.00000     0.00000     0.00000
   -75.71617     0.00000     0.00000     0.00000     0.00000
   -75.70517     0.00000     0.00000     0.00000     0.00000
   -75.69417     0.00000     0.00000     0.00000     0.00000
   -75.68317     0.00000     0.00000     0.00000     0.00000
   -75.67217     0.00000     0.00000     0.00000     0.00000
   -75.66117     0.00000     0.00000     0.00000     0.00000
   -75.65117     0.00000     0.00000     0.00000     0.00000
   -75.64017     0.00000     0.00000     0.00000     0.00000
   -75.62917     0.00000     0.00000     0.00000     0.00000
   -75.61817     0.00000     0.00000     0.00000     0.00000
   -75.60717     0.00000     0.00000     0.00000     0.00000
   -75.59617     0.00000     0.00000     0.00000     0.00000
   -75.58617     0.00000     0.00000     0.00000     0.00000
   -75.57517     0.00000     0.00000     0.00000     0.00000
   -75.56417     0.00000     0.00000     0.00000     0.00000
   -75.55317     0.00000     0.00000     0.00000     0.00000
   -75.54217     0.00000     0.00000     0.00000     0.00000
   -75.53117     0.00000     0.00000     0.00000     0.00000
   -75.52017     0.00000     0.00000     0.00000     0.00000
   -75.51017     0.00000     0.00000     0.00000     0.00000
   -75.49917     0.00000     0.00000     0.00000     0.00000
   -75.48817     0.00000     0.00000     0.00000     0.00000
   -75.47717     0.00000     0.00000     0.00000     0.00000
   -75.46617     0.00000     0.00000     0.00000     0.00000
   -75.45517     0.00000     0.00000     0.00000     0.00000
   -75.44517     0.00000     0.00000     0.00000     0.00000
   -75.43417     0.00000     0.00000     0.00000     0.00000
   -75.42317     0.00000     0.00000     0.00000     0.00000
   -75.41217     0.00000     0.00000     0.00000     0.00000
   -75.40117     0.00000     0.00000     0.00000     0.00000
   -75.39017     0.00000     0.00000     0.00000     0.00000
   -75.38017     0.00000     0.00000     0.00000     0.00000
   -75.36917     0.00000     0.00000     0.00000     0.00000
   -75.35817     0.00000     0.00000     0.00000     0.00000
   -75.34717     0.00000     0.00000     0.00000     0.00000
   -75.33617     0.00000     0.00000     0.00000     0.00000
   -75.32517     0.00000     0.00000     0.00000     0.00000
   -75.31417     0.00000     0.00000     0.00000     0.00000
   -75.30417     0.00000     0.00000     0.00000     0.00000
   -75.29317     0.00000     0.00000     0.00000     0.00000
   -75.28217     0.00000     0.00000     0.00000     0.00000
   -75.27117     0.00000     0.00000     0.00000     0.00000
   -75.26017     0.00000     0.00000     0.00000     0.00000
   -75.24917     0.00000     0.00000     0.00000     0.00000
   -75.23917     0.00000     0.00000     0.00000     0.00000
   -75.22817     0.00000     0.00000     0.00000     0.00000
   -75.21717     0.00000     0.00000     0.00000     0.00000
   -75.20617     0.00000     0.00000     0.00000     0.00000
   -75.19517     0.00000     0.00000     0.00000     0.00000
   -75.18417     0.00000     0.00000     0.00000     0.00000
   -75.17317     0.00000     0.00000     0.00000     0.00000
   -75.16317     0.00000     0.00000     0.00000     0.00000
   -75.15217     0.00000     0.00000     0.00000     0.00000
   -75.14117     0.00000     0.00000     0.00000     0.00000
   -75.13017     0.00000     0.00000     0.00000     0.00000
   -75.11917     0.00000     0.00000     0.00000     0.00000
   -75.10817     0.00000     0.00000     0.00000     0.00000
   -75.09817     0.00000     0.00000     0.00000     0.00000
   -75.08717     0.00000     0.00000     0.00000     0.00000
   -75.07617     0.00000     0.00000     0.00000     0.00000
   -75.06517     0.00000     0.00000     0.00000     0.00000
   -75.05417     0.00000     0.00000     0.00000     0.00000
   -75.04317     0.00000     0.00000     0.00000     0.00000
   -75.03217     0.00000     0.00000     0.00000     0.00000
   -75.02217     0.00000     0.00000     0.00000     0.00000
   -75.01117     0.00000     0.00000     0.00000     0.00000
   -75.00017     0.00000     0.00000     0.00000     0.00000
   -74.98917     0.00000     0.00000     0.00000     0.00000
   -74.97817     0.00000     0.00000     0.00000     0.00000
   -74.96717     0.00000     0.00000     0.00000     0.00000
