     #Energy       W_all      Mo_all      Pt_all      Zr_all
   -77.70423     0.00000     0.00000     0.00000     0.00000
   -77.69323     0.00000     0.00000     0.00000     0.00000
   -77.68223     0.00000     0.00000     0.00000     0.00000
   -77.67123     0.00000     0.00000     0.00000     0.00000
   -77.66023     0.00000     0.00000     0.00000     0.00000
   -77.64923     0.00000     0.00000     0.00000     0.00000
   -77.63823     0.00000     0.00000     0.00000     0.00000
   -77.62723     0.00000     0.00000     0.00000     0.00000
   -77.61723     0.00000     0.00000     0.00000     0.00000
   -77.60623     0.00000     0.00000     0.00000     0.00000
   -77.59523     0.00000     0.00000     0.00000     0.00000
   -77.58423     0.00000     0.00000     0.00000     0.00000
   -77.57323     0.00000     0.00000     0.00000     0.00000
   -77.56223     0.00000     0.00000     0.00000     0.00000
   -77.55123     0.00000     0.00000     0.00000     0.00000
   -77.54023     0.00000     0.00000     0.00000     0.00000
   -77.52923     0.00000     0.00000     0.00000     0.00000
   -77.51923     0.00000     0.00000     0.00000     0.00000
   -77.50823     0.00000     0.00000     0.00000     0.00000
   -77.49723     0.00000     0.00000     0.00000     0.00000
   -77.48623     0.00000     0.00000     0.00000     0.00000
   -77.47523     0.00000     0.00000     0.00000     0.00000
   -77.46423     0.00000     0.00000     0.00000     0.00000
   -77.45323     0.00000     0.00000     0.00000     0.00000
   -77.44223     0.00000     0.00000     0.00000     0.00000
   -77.43123     0.00000     0.00000     0.00000     0.00000
   -77.42123     0.00000     0.00000     0.00000     0.00000
   -77.41023     0.00000     0.00000     0.00000     0.00000
   -77.39923     0.00000     0.00000     0.00000     0.00000
   -77.38823     0.00000     0.00000     0.00000     0.00000
   -77.37723     0.00000     0.00000     0.00000     0.00000
   -77.36623     0.00000     0.00000     0.00000     0.00000
   -77.35523     0.00000     0.00000     0.00000     0.00000
   -77.34423     0.00000     0.00000     0.00000     0.00000
   -77.33323     0.00000     0.00000     0.00000     0.00000
   -77.32323     0.00000     0.00000     0.00000     0.00000
   -77.31223     0.00000     0.00000     0.00000     0.00000
   -77.30123     0.00000     0.00000     0.00000     0.00000
   -77.29023     0.00000     0.00000     0.00000     0.00000
   -77.27923     0.00000     0.00000     0.00000     0.00000
   -77.26823     0.00000     0.00000     0.00000     0.00000
   -77.25723     0.00000     0.00000     0.00000     0.00000
   -77.24623     0.00000     0.00000     0.00000     0.00000
   -77.23523     0.00000     0.00000     0.00000     0.00000
   -77.22523     0.00000     0.00000     0.00000     0.00000
   -77.21423     0.00000     0.00000     0.00000     0.00000
   -77.20323     0.00000     0.00000     0.00000     0.00000
   -77.19223     0.00000     0.00000     0.00000     0.00000
   -77.18123     0.00000     0.00000     0.00000     0.00000
   -77.17023     0.00000     0.00000     0.00000     0.00000
   -77.15923     0.00000     0.00000     0.00000     0.00000
   -77.14823     0.00000     0.00000     0.00000     0.00000
   -77.13723     0.00000     0.00000     0.00000     0.00000
   -77.12723     0.00000     0.00000     0.00000     0.00000
   -77.11623     0.00000     0.00000     0.00000     0.00000
   -77.10523     0.00000     0.00000     0.00000     0.00000
   -77.09423     0.00000     0.00000     0.00000     0.00000
