     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -76.12132     0.00000     0.00000     0.00000     0.00000
   -76.11032     0.00000     0.00000     0.00000     0.00000
   -76.10032     0.00000     0.00000     0.00000     0.00000
   -76.08932     0.00000     0.00000     0.00000     0.00000
   -76.07832     0.00000     0.00000     0.00000     0.00000
   -76.06832     0.00000     0.00000     0.00000     0.00000
   -76.05732     0.00000     0.00000     0.00000     0.00000
   -76.04632     0.00000     0.00000     0.00000     0.00000
   -76.03632     0.00000     0.00000     0.00000     0.00000
   -76.02532     0.00000     0.00000     0.00000     0.00000
   -76.01432     0.00000     0.00000     0.00000     0.00000
   -76.00432     0.00000     0.00000     0.00000     0.00000
   -75.99332     0.00000     0.00000     0.00000     0.00000
   -75.98332     0.00000     0.00000     0.00000     0.00000
   -75.97232     0.00000     0.00000     0.00000     0.00000
   -75.96132     0.00000     0.00000     0.00000     0.00000
   -75.95132     0.00000     0.00000     0.00000     0.00000
   -75.94032     0.00000     0.00000     0.00000     0.00000
   -75.92932     0.00000     0.00000     0.00000     0.00000
   -75.91932     0.00000     0.00000     0.00000     0.00000
   -75.90832     0.00000     0.00000     0.00000     0.00000
   -75.89732     0.00000     0.00000     0.00000     0.00000
   -75.88732     0.00000     0.00000     0.00000     0.00000
   -75.87632     0.00000     0.00000     0.00000     0.00000
   -75.86532     0.00000     0.00000     0.00000     0.00000
   -75.85532     0.00000     0.00000     0.00000     0.00000
   -75.84432     0.00000     0.00000     0.00000     0.00000
   -75.83332     0.00000     0.00000     0.00000     0.00000
   -75.82332     0.00000     0.00000     0.00000     0.00000
   -75.81232     0.00000     0.00000     0.00000     0.00000
   -75.80132     0.00000     0.00000     0.00000     0.00000
   -75.79132     0.00000     0.00000     0.00000     0.00000
   -75.78032     0.00000     0.00000     0.00000     0.00000
   -75.76932     0.00000     0.00000     0.00000     0.00000
   -75.75932     0.00000     0.00000     0.00000     0.00000
   -75.74832     0.00000     0.00000     0.00000     0.00000
   -75.73732     0.00000     0.00000     0.00000     0.00000
   -75.72732     0.00000     0.00000     0.00000     0.00000
   -75.71632     0.00000     0.00000     0.00000     0.00000
   -75.70532     0.00000     0.00000     0.00000     0.00000
   -75.69532     0.00000     0.00000     0.00000     0.00000
   -75.68432     0.00000     0.00000     0.00000     0.00000
   -75.67332     0.00000     0.00000     0.00000     0.00000
