     #Energy       W_all      Mo_all      Re_all      Ti_all
   -82.57841     0.00000     0.00000     0.00000     0.00000
   -82.56741     0.00000     0.00000     0.00000     0.00000
   -82.55541     0.00000     0.00000     0.00000     0.00000
   -82.54441     0.00000     0.00000     0.00000     0.00000
   -82.53241     0.00000     0.00000     0.00000     0.00000
   -82.52141     0.00000     0.00000     0.00000     0.00000
   -82.50941     0.00000     0.00000     0.00000     0.00000
   -82.49841     0.00000     0.00000     0.00000     0.00000
   -82.48641     0.00000     0.00000     0.00000     0.00000
   -82.47541     0.00000     0.00000     0.00000     0.00000
   -82.46341     0.00000     0.00000     0.00000     0.00000
   -82.45241     0.00000     0.00000     0.00000     0.00000
   -82.44141     0.00000     0.00000     0.00000     0.00000
   -82.42941     0.00000     0.00000     0.00000     0.00000
   -82.41841     0.00000     0.00000     0.00000     0.00000
   -82.40641     0.00000     0.00000     0.00000     0.00000
   -82.39541     0.00000     0.00000     0.00000     0.00000
   -82.38341     0.00000     0.00000     0.00000     0.00000
   -82.37241     0.00000     0.00000     0.00000     0.00000
   -82.36041     0.00000     0.00000     0.00000     0.00000
   -82.34941     0.00000     0.00000     0.00000     0.00000
   -82.33741     0.00000     0.00000     0.00000     0.00000
   -82.32641     0.00000     0.00000     0.00000     0.00000
   -82.31441     0.00000     0.00000     0.00000     0.00000
   -82.30341     0.00000     0.00000     0.00000     0.00000
   -82.29141     0.00000     0.00000     0.00000     0.00000
   -82.28041     0.00000     0.00000     0.00000     0.00000
   -82.26841     0.00000     0.00000     0.00000     0.00000
   -82.25741     0.00000     0.00000     0.00000     0.00000
   -82.24541     0.00000     0.00000     0.00000     0.00000
   -82.23441     0.00000     0.00000     0.00000     0.00000
   -82.22341     0.00000     0.00000     0.00000     0.00000
   -82.21141     0.00000     0.00000     0.00000     0.00000
   -82.20041     0.00000     0.00000     0.00000     0.00000
   -82.18841     0.00000     0.00000     0.00000     0.00000
   -82.17741     0.00000     0.00000     0.00000     0.00000
   -82.16541     0.00000     0.00000     0.00000     0.00000
   -82.15441     0.00000     0.00000     0.00000     0.00000
   -82.14241     0.00000     0.00000     0.00000     0.00000
   -82.13141     0.00000     0.00000     0.00000     0.00000
   -82.11941     0.00000     0.00000     0.00000     0.00000
   -82.10841     0.00000     0.00000     0.00000     0.00000
   -82.09641     0.00000     0.00000     0.00000     0.00000
   -82.08541     0.00000     0.00000     0.00000     0.00000
   -82.07341     0.00000     0.00000     0.00000     0.00000
   -82.06241     0.00000     0.00000     0.00000     0.00000
   -82.05041     0.00000     0.00000     0.00000     0.00000
   -82.03941     0.00000     0.00000     0.00000     0.00000
   -82.02741     0.00000     0.00000     0.00000     0.00000
   -82.01641     0.00000     0.00000     0.00000     0.00000
   -82.00541     0.00000     0.00000     0.00000     0.00000
   -81.99341     0.00000     0.00000     0.00000     0.00000
   -81.98241     0.00000     0.00000     0.00000     0.00000
   -81.97041     0.00000     0.00000     0.00000     0.00000
   -81.95941     0.00000     0.00000     0.00000     0.00000
   -81.94741     0.00000     0.00000     0.00000     0.00000
   -81.93641     0.00000     0.00000     0.00000     0.00000
   -81.92441     0.00000     0.00000     0.00000     0.00000
   -81.91341     0.00000     0.00000     0.00000     0.00000
   -81.90141     0.00000     0.00000     0.00000     0.00000
   -81.89041     0.00000     0.00000     0.00000     0.00000
   -81.87841     0.00000     0.00000     0.00000     0.00000
   -81.86741     0.00000     0.00000     0.00000     0.00000
   -81.85541     0.00000     0.00000     0.00000     0.00000
   -81.84441     0.00000     0.00000     0.00000     0.00000
   -81.83241     0.00000     0.00000     0.00000     0.00000
