     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -75.40882     0.00000     0.00000     0.00000     0.00000
   -75.39782     0.00000     0.00000     0.00000     0.00000
   -75.38682     0.00000     0.00000     0.00000     0.00000
   -75.37682     0.00000     0.00000     0.00000     0.00000
   -75.36582     0.00000     0.00000     0.00000     0.00000
   -75.35482     0.00000     0.00000     0.00000     0.00000
   -75.34482     0.00000     0.00000     0.00000     0.00000
   -75.33382     0.00000     0.00000     0.00000     0.00000
   -75.32282     0.00000     0.00000     0.00000     0.00000
   -75.31282     0.00000     0.00000     0.00000     0.00000
   -75.30182     0.00000     0.00000     0.00000     0.00000
   -75.29082     0.00000     0.00000     0.00000     0.00000
   -75.28082     0.00000     0.00000     0.00000     0.00000
   -75.26982     0.00000     0.00000     0.00000     0.00000
   -75.25882     0.00000     0.00000     0.00000     0.00000
   -75.24782     0.00000     0.00000     0.00000     0.00000
   -75.23782     0.00000     0.00000     0.00000     0.00000
   -75.22682     0.00000     0.00000     0.00000     0.00000
   -75.21582     0.00000     0.00000     0.00000     0.00000
   -75.20582     0.00000     0.00000     0.00000     0.00000
   -75.19482     0.00000     0.00000     0.00000     0.00000
   -75.18382     0.00000     0.00000     0.00000     0.00000
   -75.17382     0.00000     0.00000     0.00000     0.00000
   -75.16282     0.00000     0.00000     0.00000     0.00000
   -75.15182     0.00000     0.00000     0.00000     0.00000
   -75.14182     0.00000     0.00000     0.00000     0.00000
   -75.13082     0.00000     0.00000     0.00000     0.00000
   -75.11982     0.00000     0.00000     0.00000     0.00000
   -75.10882     0.00000     0.00000     0.00000     0.00000
   -75.09882     0.00000     0.00000     0.00000     0.00000
   -75.08782     0.00000     0.00000     0.00000     0.00000
   -75.07682     0.00000     0.00000     0.00000     0.00000
   -75.06682     0.00000     0.00000     0.00000     0.00000
   -75.05582     0.00000     0.00000     0.00000     0.00000
   -75.04482     0.00000     0.00000     0.00000     0.00000
   -75.03482     0.00000     0.00000     0.00000     0.00000
   -75.02382     0.00000     0.00000     0.00000     0.00000
   -75.01282     0.00000     0.00000     0.00000     0.00000
   -75.00282     0.00000     0.00000     0.00000     0.00000
   -74.99182     0.00000     0.00000     0.00000     0.00000
   -74.98082     0.00000     0.00000     0.00000     0.00000
   -74.96982     0.00000     0.00000     0.00000     0.00000
   -74.95982     0.00000     0.00000     0.00000     0.00000
   -74.94882     0.00000     0.00000     0.00000     0.00000
   -74.93782     0.00000     0.00000     0.00000     0.00000
   -74.92782     0.00000     0.00000     0.00000     0.00000
   -74.91682     0.00000     0.00000     0.00000     0.00000
   -74.90582     0.00000     0.00000     0.00000     0.00000
   -74.89582     0.00000     0.00000     0.00000     0.00000
   -74.88482     0.00000     0.00000     0.00000     0.00000
   -74.87382     0.00000     0.00000     0.00000     0.00000
   -74.86382     0.00000     0.00000     0.00000     0.00000
   -74.85282     0.00000     0.00000     0.00000     0.00000
   -74.84182     0.00000     0.00000     0.00000     0.00000
   -74.83082     0.00000     0.00000     0.00000     0.00000
   -74.82082     0.00000     0.00000     0.00000     0.00000
   -74.80982     0.00000     0.00000     0.00000     0.00000
   -74.79882     0.00000     0.00000     0.00000     0.00000
   -74.78882     0.00000     0.00000     0.00000     0.00000
   -74.77782     0.00000     0.00000     0.00000     0.00000
   -74.76682     0.00000     0.00000     0.00000     0.00000
   -74.75682     0.00000     0.00000     0.00000     0.00000
   -74.74582     0.00000     0.00000     0.00000     0.00000
   -74.73482     0.00000     0.00000     0.00000     0.00000
   -74.72482     0.00000     0.00000     0.00000     0.00000
   -74.71382     0.00000     0.00000     0.00000     0.00000
   -74.70282     0.00000     0.00000     0.00000     0.00000
   -74.69182     0.00000     0.00000     0.00000     0.00000
   -74.68182     0.00000     0.00000     0.00000     0.00000
   -74.67082     0.00000     0.00000     0.00000     0.00000
   -74.65982     0.00000     0.00000     0.00000     0.00000
   -74.64982     0.00000     0.00000     0.00000     0.00000
   -74.63882     0.00000     0.00000     0.00000     0.00000
   -74.62782     0.00000     0.00000     0.00000     0.00000
   -74.61782     0.00000     0.00000     0.00000     0.00000
   -74.60682     0.00000     0.00000     0.00000     0.00000
   -74.59582     0.00000     0.00000     0.00000     0.00000
   -74.58582     0.00000     0.00000     0.00000     0.00000
   -74.57482     0.00000     0.00000     0.00000     0.00000
   -74.56382     0.00000     0.00000     0.00000     0.00000
   -74.55282     0.00000     0.00000     0.00000     0.00000
   -74.54282     0.00000     0.00000     0.00000     0.00000
   -74.53182     0.00000     0.00000     0.00000     0.00000
   -74.52082     0.00000     0.00000     0.00000     0.00000
   -74.51082     0.00000     0.00000     0.00000     0.00000
   -74.49982     0.00000     0.00000     0.00000     0.00000
   -74.48882     0.00000     0.00000     0.00000     0.00000
   -74.47882     0.00000     0.00000     0.00000     0.00000
   -74.46782     0.00000     0.00000     0.00000     0.00000
   -74.45682     0.00000     0.00000     0.00000     0.00000
   -74.44682     0.00000     0.00000     0.00000     0.00000
   -74.43582     0.00000     0.00000     0.00000     0.00000
   -74.42482     0.00000     0.00000     0.00000     0.00000
   -74.41382     0.00000     0.00000     0.00000     0.00000
   -74.40382     0.00000     0.00000     0.00000     0.00000
   -74.39282     0.00000     0.00000     0.00000     0.00000
   -74.38182     0.00000     0.00000     0.00000     0.00000
   -74.37182     0.00000     0.00000     0.00000     0.00000
   -74.36082     0.00000     0.00000     0.00000     0.00000
   -74.34982     0.00000     0.00000     0.00000     0.00000
   -74.33982     0.00000     0.00000     0.00000     0.00000
   -74.32882     0.00000     0.00000     0.00000     0.00000
   -74.31782     0.00000     0.00000     0.00000     0.00000
   -74.30782     0.00000     0.00000     0.00000     0.00000
   -74.29682     0.00000     0.00000     0.00000     0.00000
   -74.28582     0.00000     0.00000     0.00000     0.00000
   -74.27582     0.00000     0.00000     0.00000     0.00000
   -74.26482     0.00000     0.00000     0.00000     0.00000
   -74.25382     0.00000     0.00000     0.00000     0.00000
   -74.24282     0.00000     0.00000     0.00000     0.00000
   -74.23282     0.00000     0.00000     0.00000     0.00000
   -74.22182     0.00000     0.00000     0.00000     0.00000
   -74.21082   186.56080     0.00250     0.01481     0.00037
   -74.20082     0.00000     0.00000     0.00000     0.00000
   -74.18982   373.14616     0.00593     0.01880     0.00044
   -74.17882     0.00000     0.00000     0.00000     0.00000
   -74.16882   186.57134     0.00699     0.00409     0.00107
   -74.15782     0.00000     0.00000     0.00000     0.00000
   -74.14682     0.00000     0.00000     0.00000     0.00000
   -74.13682     0.00000     0.00000     0.00000     0.00000
   -74.12582     0.00000     0.00000     0.00000     0.00000
   -74.11482     0.00000     0.00000     0.00000     0.00000
   -74.10382     0.00000     0.00000     0.00000     0.00000
   -74.09382     0.00000     0.00000     0.00000     0.00000
