     #Energy       W_all      Mo_all      Re_all      Zr_all
   -81.31940     0.00000     0.00000     0.00000     0.00000
   -81.30840     0.00000     0.00000     0.00000     0.00000
   -81.29640     0.00000     0.00000     0.00000     0.00000
   -81.28540     0.00000     0.00000     0.00000     0.00000
   -81.27340     0.00000     0.00000     0.00000     0.00000
   -81.26240     0.00000     0.00000     0.00000     0.00000
   -81.25040     0.00000     0.00000     0.00000     0.00000
   -81.23840     0.00000     0.00000     0.00000     0.00000
   -81.22740     0.00000     0.00000     0.00000     0.00000
   -81.21540     0.00000     0.00000     0.00000     0.00000
   -81.20440     0.00000     0.00000     0.00000     0.00000
   -81.19240     0.00000     0.00000     0.00000     0.00000
   -81.18140     0.00000     0.00000     0.00000     0.00000
   -81.16940     0.00000     0.00000     0.00000     0.00000
   -81.15740     0.00000     0.00000     0.00000     0.00000
   -81.14640     0.00000     0.00000     0.00000     0.00000
   -81.13440     0.00000     0.00000     0.00000     0.00000
   -81.12340     0.00000     0.00000     0.00000     0.00000
   -81.11140     0.00000     0.00000     0.00000     0.00000
   -81.09940     0.00000     0.00000     0.00000     0.00000
   -81.08840     0.00000     0.00000     0.00000     0.00000
   -81.07640     0.00000     0.00000     0.00000     0.00000
   -81.06540     0.00000     0.00000     0.00000     0.00000
   -81.05340     0.00000     0.00000     0.00000     0.00000
   -81.04240     0.00000     0.00000     0.00000     0.00000
   -81.03040     0.00000     0.00000     0.00000     0.00000
   -81.01840     0.00000     0.00000     0.00000     0.00000
   -81.00740     0.00000     0.00000     0.00000     0.00000
   -80.99540     0.00000     0.00000     0.00000     0.00000
   -80.98440     0.00000     0.00000     0.00000     0.00000
   -80.97240     0.00000     0.00000     0.00000     0.00000
   -80.96040     0.00000     0.00000     0.00000     0.00000
   -80.94940     0.00000     0.00000     0.00000     0.00000
   -80.93740     0.00000     0.00000     0.00000     0.00000
   -80.92640     0.00000     0.00000     0.00000     0.00000
   -80.91440     0.00000     0.00000     0.00000     0.00000
   -80.90340     0.00000     0.00000     0.00000     0.00000
   -80.89140     0.00000     0.00000     0.00000     0.00000
   -80.87940     0.00000     0.00000     0.00000     0.00000
