     #Energy       W_all      Mo_all      Os_all
   -73.54505     0.00000     0.00000     0.00000
   -73.53405     0.00000     0.00000     0.00000
   -73.52305     0.00000     0.00000     0.00000
   -73.51305     0.00000     0.00000     0.00000
   -73.50205     0.00000     0.00000     0.00000
   -73.49105     0.00000     0.00000     0.00000
   -73.48105     0.00000     0.00000     0.00000
   -73.47005     0.00000     0.00000     0.00000
   -73.45905     0.00000     0.00000     0.00000
   -73.44805     0.00000     0.00000     0.00000
   -73.43805     0.00000     0.00000     0.00000
   -73.42705     0.00000     0.00000     0.00000
   -73.41605     0.00000     0.00000     0.00000
   -73.40605     0.00000     0.00000     0.00000
   -73.39505     0.00000     0.00000     0.00000
   -73.38405     0.00000     0.00000     0.00000
   -73.37305     0.00000     0.00000     0.00000
   -73.36305     0.00000     0.00000     0.00000
   -73.35205     0.00000     0.00000     0.00000
   -73.34105     0.00000     0.00000     0.00000
   -73.33105     0.00000     0.00000     0.00000
   -73.32005     0.00000     0.00000     0.00000
   -73.30905     0.00000     0.00000     0.00000
   -73.29905     0.00000     0.00000     0.00000
   -73.28805     0.00000     0.00000     0.00000
   -73.27705     0.00000     0.00000     0.00000
   -73.26605     0.00000     0.00000     0.00000
   -73.25605     0.00000     0.00000     0.00000
   -73.24505     0.00000     0.00000     0.00000
   -73.23405     0.00000     0.00000     0.00000
   -73.22405     0.00000     0.00000     0.00000
   -73.21305     0.00000     0.00000     0.00000
   -73.20205     0.00000     0.00000     0.00000
   -73.19205     0.00000     0.00000     0.00000
   -73.18105     0.00000     0.00000     0.00000
   -73.17005     0.00000     0.00000     0.00000
   -73.15905     0.00000     0.00000     0.00000
   -73.14905     0.00000     0.00000     0.00000
   -73.13805     0.00000     0.00000     0.00000
   -73.12705     0.00000     0.00000     0.00000
   -73.11705     0.00000     0.00000     0.00000
   -73.10605     0.00000     0.00000     0.00000
   -73.09505     0.00000     0.00000     0.00000
   -73.08405     0.00000     0.00000     0.00000
   -73.07405     0.00000     0.00000     0.00000
   -73.06305     0.00000     0.00000     0.00000
   -73.05205     0.00000     0.00000     0.00000
   -73.04205     0.00000     0.00000     0.00000
   -73.03105     0.00000     0.00000     0.00000
   -73.02005     0.00000     0.00000     0.00000
   -73.01005     0.00000     0.00000     0.00000
   -72.99905     0.00000     0.00000     0.00000
   -72.98805     0.00000     0.00000     0.00000
   -72.97705     0.00000     0.00000     0.00000
   -72.96705     0.00000     0.00000     0.00000
   -72.95605     0.00000     0.00000     0.00000
   -72.94505     0.00000     0.00000     0.00000
   -72.93505     0.00000     0.00000     0.00000
   -72.92405     0.00000     0.00000     0.00000
   -72.91305     0.00000     0.00000     0.00000
   -72.90205     0.00000     0.00000     0.00000
   -72.89205     0.00000     0.00000     0.00000
   -72.88105     0.00000     0.00000     0.00000
   -72.87005     0.00000     0.00000     0.00000
   -72.86005     0.00000     0.00000     0.00000
   -72.84905     0.00000     0.00000     0.00000
   -72.83805     0.00000     0.00000     0.00000
   -72.82805     0.00000     0.00000     0.00000
   -72.81705     0.00000     0.00000     0.00000
   -72.80605     0.00000     0.00000     0.00000
   -72.79505     0.00000     0.00000     0.00000
