     #Energy       W_all      Mo_all      Pd_all
   -76.38735     0.00000     0.00000     0.00000
   -76.37735     0.00000     0.00000     0.00000
   -76.36635     0.00000     0.00000     0.00000
   -76.35635     0.00000     0.00000     0.00000
   -76.34535     0.00000     0.00000     0.00000
   -76.33435     0.00000     0.00000     0.00000
   -76.32435     0.00000     0.00000     0.00000
   -76.31335     0.00000     0.00000     0.00000
   -76.30335     0.00000     0.00000     0.00000
   -76.29235     0.00000     0.00000     0.00000
   -76.28135     0.00000     0.00000     0.00000
   -76.27135     0.00000     0.00000     0.00000
   -76.26035     0.00000     0.00000     0.00000
   -76.25035     0.00000     0.00000     0.00000
   -76.23935     0.00000     0.00000     0.00000
   -76.22935     0.00000     0.00000     0.00000
   -76.21835     0.00000     0.00000     0.00000
   -76.20735     0.00000     0.00000     0.00000
   -76.19735     0.00000     0.00000     0.00000
   -76.18635     0.00000     0.00000     0.00000
   -76.17635     0.00000     0.00000     0.00000
   -76.16535     0.00000     0.00000     0.00000
   -76.15435     0.00000     0.00000     0.00000
   -76.14435     0.00000     0.00000     0.00000
   -76.13335     0.00000     0.00000     0.00000
   -76.12335     0.00000     0.00000     0.00000
   -76.11235     0.00000     0.00000     0.00000
   -76.10135     0.00000     0.00000     0.00000
   -76.09135     0.00000     0.00000     0.00000
   -76.08035     0.00000     0.00000     0.00000
   -76.07035     0.00000     0.00000     0.00000
   -76.05935     0.00000     0.00000     0.00000
   -76.04935     0.00000     0.00000     0.00000
   -76.03835     0.00000     0.00000     0.00000
   -76.02735     0.00000     0.00000     0.00000
   -76.01735     0.00000     0.00000     0.00000
   -76.00635     0.00000     0.00000     0.00000
   -75.99635     0.00000     0.00000     0.00000
   -75.98535     0.00000     0.00000     0.00000
   -75.97435     0.00000     0.00000     0.00000
   -75.96435     0.00000     0.00000     0.00000
   -75.95335     0.00000     0.00000     0.00000
   -75.94335     0.00000     0.00000     0.00000
   -75.93235     0.00000     0.00000     0.00000
   -75.92235     0.00000     0.00000     0.00000
   -75.91135     0.00000     0.00000     0.00000
   -75.90035     0.00000     0.00000     0.00000
   -75.89035     0.00000     0.00000     0.00000
   -75.87935     0.00000     0.00000     0.00000
   -75.86935     0.00000     0.00000     0.00000
   -75.85835     0.00000     0.00000     0.00000
   -75.84735     0.00000     0.00000     0.00000
   -75.83735     0.00000     0.00000     0.00000
   -75.82635     0.00000     0.00000     0.00000
   -75.81635     0.00000     0.00000     0.00000
   -75.80535     0.00000     0.00000     0.00000
   -75.79435     0.00000     0.00000     0.00000
   -75.78435     0.00000     0.00000     0.00000
   -75.77335     0.00000     0.00000     0.00000
   -75.76335     0.00000     0.00000     0.00000
   -75.75235     0.00000     0.00000     0.00000
   -75.74235     0.00000     0.00000     0.00000
   -75.73135     0.00000     0.00000     0.00000
   -75.72035     0.00000     0.00000     0.00000
   -75.71035     0.00000     0.00000     0.00000
   -75.69935     0.00000     0.00000     0.00000
   -75.68935     0.00000     0.00000     0.00000
   -75.67835     0.00000     0.00000     0.00000
   -75.66735     0.00000     0.00000     0.00000
   -75.65735     0.00000     0.00000     0.00000
   -75.64635     0.00000     0.00000     0.00000
   -75.63635     0.00000     0.00000     0.00000
   -75.62535     0.00000     0.00000     0.00000
   -75.61535     0.00000     0.00000     0.00000
   -75.60435     0.00000     0.00000     0.00000
   -75.59335     0.00000     0.00000     0.00000
   -75.58335     0.00000     0.00000     0.00000
   -75.57235     0.00000     0.00000     0.00000
   -75.56235     0.00000     0.00000     0.00000
