     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -76.67319     0.00000     0.00000     0.00000     0.00000
   -76.66319     0.00000     0.00000     0.00000     0.00000
   -76.65219     0.00000     0.00000     0.00000     0.00000
   -76.64119     0.00000     0.00000     0.00000     0.00000
   -76.63119     0.00000     0.00000     0.00000     0.00000
   -76.62019     0.00000     0.00000     0.00000     0.00000
   -76.61019     0.00000     0.00000     0.00000     0.00000
   -76.59919     0.00000     0.00000     0.00000     0.00000
   -76.58919     0.00000     0.00000     0.00000     0.00000
   -76.57819     0.00000     0.00000     0.00000     0.00000
   -76.56719     0.00000     0.00000     0.00000     0.00000
   -76.55719     0.00000     0.00000     0.00000     0.00000
   -76.54619     0.00000     0.00000     0.00000     0.00000
   -76.53619     0.00000     0.00000     0.00000     0.00000
   -76.52519     0.00000     0.00000     0.00000     0.00000
   -76.51519     0.00000     0.00000     0.00000     0.00000
   -76.50419     0.00000     0.00000     0.00000     0.00000
   -76.49319     0.00000     0.00000     0.00000     0.00000
   -76.48319     0.00000     0.00000     0.00000     0.00000
   -76.47219     0.00000     0.00000     0.00000     0.00000
   -76.46219     0.00000     0.00000     0.00000     0.00000
   -76.45119     0.00000     0.00000     0.00000     0.00000
   -76.44119     0.00000     0.00000     0.00000     0.00000
   -76.43019     0.00000     0.00000     0.00000     0.00000
   -76.41919     0.00000     0.00000     0.00000     0.00000
   -76.40919     0.00000     0.00000     0.00000     0.00000
   -76.39819     0.00000     0.00000     0.00000     0.00000
   -76.38819     0.00000     0.00000     0.00000     0.00000
   -76.37719     0.00000     0.00000     0.00000     0.00000
   -76.36719     0.00000     0.00000     0.00000     0.00000
   -76.35619     0.00000     0.00000     0.00000     0.00000
   -76.34519     0.00000     0.00000     0.00000     0.00000
   -76.33519     0.00000     0.00000     0.00000     0.00000
   -76.32419     0.00000     0.00000     0.00000     0.00000
   -76.31419     0.00000     0.00000     0.00000     0.00000
   -76.30319     0.00000     0.00000     0.00000     0.00000
   -76.29219     0.00000     0.00000     0.00000     0.00000
