     #Energy       W_all      Mo_all      Ir_all      Hf_all
   -77.55000     0.00000     0.00000     0.00000     0.00000
   -77.53900     0.00000     0.00000     0.00000     0.00000
   -77.52800     0.00000     0.00000     0.00000     0.00000
   -77.51700     0.00000     0.00000     0.00000     0.00000
   -77.50600     0.00000     0.00000     0.00000     0.00000
   -77.49500     0.00000     0.00000     0.00000     0.00000
   -77.48400     0.00000     0.00000     0.00000     0.00000
   -77.47300     0.00000     0.00000     0.00000     0.00000
   -77.46200     0.00000     0.00000     0.00000     0.00000
   -77.45100     0.00000     0.00000     0.00000     0.00000
   -77.44000     0.00000     0.00000     0.00000     0.00000
   -77.42900     0.00000     0.00000     0.00000     0.00000
   -77.41800     0.00000     0.00000     0.00000     0.00000
   -77.40700     0.00000     0.00000     0.00000     0.00000
   -77.39600     0.00000     0.00000     0.00000     0.00000
   -77.38500     0.00000     0.00000     0.00000     0.00000
   -77.37400     0.00000     0.00000     0.00000     0.00000
   -77.36300     0.00000     0.00000     0.00000     0.00000
   -77.35200     0.00000     0.00000     0.00000     0.00000
   -77.34100     0.00000     0.00000     0.00000     0.00000
   -77.33000     0.00000     0.00000     0.00000     0.00000
   -77.31900     0.00000     0.00000     0.00000     0.00000
   -77.30800     0.00000     0.00000     0.00000     0.00000
   -77.29700     0.00000     0.00000     0.00000     0.00000
   -77.28600     0.00000     0.00000     0.00000     0.00000
   -77.27500     0.00000     0.00000     0.00000     0.00000
   -77.26400     0.00000     0.00000     0.00000     0.00000
   -77.25300     0.00000     0.00000     0.00000     0.00000
   -77.24200     0.00000     0.00000     0.00000     0.00000
   -77.23100     0.00000     0.00000     0.00000     0.00000
   -77.22000     0.00000     0.00000     0.00000     0.00000
   -77.20900     0.00000     0.00000     0.00000     0.00000
   -77.19800     0.00000     0.00000     0.00000     0.00000
   -77.18700     0.00000     0.00000     0.00000     0.00000
   -77.17600     0.00000     0.00000     0.00000     0.00000
   -77.16500     0.00000     0.00000     0.00000     0.00000
   -77.15400     0.00000     0.00000     0.00000     0.00000
   -77.14300     0.00000     0.00000     0.00000     0.00000
   -77.13200     0.00000     0.00000     0.00000     0.00000
   -77.12100     0.00000     0.00000     0.00000     0.00000
   -77.11000     0.00000     0.00000     0.00000     0.00000
   -77.09900     0.00000     0.00000     0.00000     0.00000
   -77.08800     0.00000     0.00000     0.00000     0.00000
   -77.07700     0.00000     0.00000     0.00000     0.00000
   -77.06600     0.00000     0.00000     0.00000     0.00000
   -77.05500     0.00000     0.00000     0.00000     0.00000
   -77.04400     0.00000     0.00000     0.00000     0.00000
   -77.03300     0.00000     0.00000     0.00000     0.00000
   -77.02200     0.00000     0.00000     0.00000     0.00000
   -77.01100     0.00000     0.00000     0.00000     0.00000
   -77.00000     0.00000     0.00000     0.00000     0.00000
   -76.98900     0.00000     0.00000     0.00000     0.00000
   -76.97800     0.00000     0.00000     0.00000     0.00000
   -76.96700     0.00000     0.00000     0.00000     0.00000
   -76.95600     0.00000     0.00000     0.00000     0.00000
   -76.94500     0.00000     0.00000     0.00000     0.00000
   -76.93400     0.00000     0.00000     0.00000     0.00000
   -76.92300     0.00000     0.00000     0.00000     0.00000
   -76.91200     0.00000     0.00000     0.00000     0.00000
   -76.90100     0.00000     0.00000     0.00000     0.00000
   -76.89000     0.00000     0.00000     0.00000     0.00000
   -76.87900     0.00000     0.00000     0.00000     0.00000
   -76.86800     0.00000     0.00000     0.00000     0.00000
   -76.85700     0.00000     0.00000     0.00000     0.00000
   -76.84600     0.00000     0.00000     0.00000     0.00000
   -76.83500     0.00000     0.00000     0.00000     0.00000
   -76.82400     0.00000     0.00000     0.00000     0.00000
   -76.81300     0.00000     0.00000     0.00000     0.00000
   -76.80200     0.00000     0.00000     0.00000     0.00000
   -76.79100     0.00000     0.00000     0.00000     0.00000
   -76.78000     0.00000     0.00000     0.00000     0.00000
   -76.76900     0.00000     0.00000     0.00000     0.00000
   -76.75800     0.00000     0.00000     0.00000     0.00000
   -76.74700     0.00000     0.00000     0.00000     0.00000
   -76.73600     0.00000     0.00000     0.00000     0.00000
   -76.72500     0.00000     0.00000     0.00000     0.00000
   -76.71400     0.00000     0.00000     0.00000     0.00000
   -76.70300     0.00000     0.00000     0.00000     0.00000
   -76.69200     0.00000     0.00000     0.00000     0.00000
   -76.68100     0.00000     0.00000     0.00000     0.00000
   -76.67000     0.00000     0.00000     0.00000     0.00000
   -76.65900     0.00000     0.00000     0.00000     0.00000
   -76.64800     0.00000     0.00000     0.00000     0.00000
   -76.63700     0.00000     0.00000     0.00000     0.00000
   -76.62600     0.00000     0.00000     0.00000     0.00000
   -76.61500     0.00000     0.00000     0.00000     0.00000
   -76.60400     0.00000     0.00000     0.00000     0.00000
   -76.59300     0.00000     0.00000     0.00000     0.00000
   -76.58200     0.00000     0.00000     0.00000     0.00000
   -76.57100     0.00000     0.00000     0.00000     0.00000
   -76.56000     0.00000     0.00000     0.00000     0.00000
   -76.54900     0.00000     0.00000     0.00000     0.00000
   -76.53800     0.00000     0.00000     0.00000     0.00000
