     #Energy       W_all      Mo_all      Os_all      Hf_all
   -76.43192     0.00000     0.00000     0.00000     0.00000
   -76.42092     0.00000     0.00000     0.00000     0.00000
   -76.40992     0.00000     0.00000     0.00000     0.00000
   -76.39892     0.00000     0.00000     0.00000     0.00000
   -76.38792     0.00000     0.00000     0.00000     0.00000
   -76.37692     0.00000     0.00000     0.00000     0.00000
   -76.36592     0.00000     0.00000     0.00000     0.00000
   -76.35492     0.00000     0.00000     0.00000     0.00000
   -76.34392     0.00000     0.00000     0.00000     0.00000
   -76.33292     0.00000     0.00000     0.00000     0.00000
   -76.32192     0.00000     0.00000     0.00000     0.00000
   -76.31092     0.00000     0.00000     0.00000     0.00000
   -76.29992     0.00000     0.00000     0.00000     0.00000
   -76.28892     0.00000     0.00000     0.00000     0.00000
   -76.27792     0.00000     0.00000     0.00000     0.00000
   -76.26692     0.00000     0.00000     0.00000     0.00000
   -76.25592     0.00000     0.00000     0.00000     0.00000
   -76.24492     0.00000     0.00000     0.00000     0.00000
   -76.23392     0.00000     0.00000     0.00000     0.00000
   -76.22292     0.00000     0.00000     0.00000     0.00000
   -76.21192     0.00000     0.00000     0.00000     0.00000
   -76.20092     0.00000     0.00000     0.00000     0.00000
   -76.18992     0.00000     0.00000     0.00000     0.00000
   -76.17892     0.00000     0.00000     0.00000     0.00000
   -76.16792     0.00000     0.00000     0.00000     0.00000
   -76.15692     0.00000     0.00000     0.00000     0.00000
   -76.14592     0.00000     0.00000     0.00000     0.00000
   -76.13492     0.00000     0.00000     0.00000     0.00000
   -76.12392     0.00000     0.00000     0.00000     0.00000
   -76.11292     0.00000     0.00000     0.00000     0.00000
   -76.10192     0.00000     0.00000     0.00000     0.00000
   -76.09092     0.00000     0.00000     0.00000     0.00000
   -76.07992     0.00000     0.00000     0.00000     0.00000
   -76.06892     0.00000     0.00000     0.00000     0.00000
   -76.05792     0.00000     0.00000     0.00000     0.00000
   -76.04692     0.00000     0.00000     0.00000     0.00000
   -76.03592     0.00000     0.00000     0.00000     0.00000
   -76.02492     0.00000     0.00000     0.00000     0.00000
   -76.01392     0.00000     0.00000     0.00000     0.00000
   -76.00292     0.00000     0.00000     0.00000     0.00000
   -75.99192     0.00000     0.00000     0.00000     0.00000
   -75.98092     0.00000     0.00000     0.00000     0.00000
   -75.96992     0.00000     0.00000     0.00000     0.00000
   -75.95892     0.00000     0.00000     0.00000     0.00000
   -75.94792     0.00000     0.00000     0.00000     0.00000
   -75.93692     0.00000     0.00000     0.00000     0.00000
   -75.92592     0.00000     0.00000     0.00000     0.00000
   -75.91492     0.00000     0.00000     0.00000     0.00000
   -75.90392     0.00000     0.00000     0.00000     0.00000
   -75.89292     0.00000     0.00000     0.00000     0.00000
   -75.88192     0.00000     0.00000     0.00000     0.00000
   -75.87092     0.00000     0.00000     0.00000     0.00000
   -75.85992     0.00000     0.00000     0.00000     0.00000
   -75.84892     0.00000     0.00000     0.00000     0.00000
   -75.83792     0.00000     0.00000     0.00000     0.00000
   -75.82692     0.00000     0.00000     0.00000     0.00000
   -75.81592     0.00000     0.00000     0.00000     0.00000
   -75.80492     0.00000     0.00000     0.00000     0.00000
   -75.79392     0.00000     0.00000     0.00000     0.00000
   -75.78292     0.00000     0.00000     0.00000     0.00000
   -75.77192     0.00000     0.00000     0.00000     0.00000
   -75.76092     0.00000     0.00000     0.00000     0.00000
   -75.74992     0.00000     0.00000     0.00000     0.00000
   -75.73892     0.00000     0.00000     0.00000     0.00000
   -75.72792     0.00000     0.00000     0.00000     0.00000
   -75.71692     0.00000     0.00000     0.00000     0.00000
   -75.70592     0.00000     0.00000     0.00000     0.00000
   -75.69492     0.00000     0.00000     0.00000     0.00000
   -75.68392     0.00000     0.00000     0.00000     0.00000
   -75.67292     0.00000     0.00000     0.00000     0.00000
   -75.66192     0.00000     0.00000     0.00000     0.00000
   -75.65092     0.00000     0.00000     0.00000     0.00000
   -75.63992     0.00000     0.00000     0.00000     0.00000
   -75.62892     0.00000     0.00000     0.00000     0.00000
   -75.61792     0.00000     0.00000     0.00000     0.00000
   -75.60692     0.00000     0.00000     0.00000     0.00000
   -75.59592     0.00000     0.00000     0.00000     0.00000
   -75.58492     0.00000     0.00000     0.00000     0.00000
   -75.57292     0.00000     0.00000     0.00000     0.00000
