     #Energy       W_all      Mo_all      Os_all      Zr_all
   -75.83221     0.00000     0.00000     0.00000     0.00000
   -75.82121     0.00000     0.00000     0.00000     0.00000
   -75.81021     0.00000     0.00000     0.00000     0.00000
   -75.79921     0.00000     0.00000     0.00000     0.00000
   -75.78821     0.00000     0.00000     0.00000     0.00000
   -75.77721     0.00000     0.00000     0.00000     0.00000
   -75.76621     0.00000     0.00000     0.00000     0.00000
   -75.75521     0.00000     0.00000     0.00000     0.00000
   -75.74421     0.00000     0.00000     0.00000     0.00000
   -75.73321     0.00000     0.00000     0.00000     0.00000
   -75.72321     0.00000     0.00000     0.00000     0.00000
   -75.71221     0.00000     0.00000     0.00000     0.00000
   -75.70121     0.00000     0.00000     0.00000     0.00000
   -75.69021     0.00000     0.00000     0.00000     0.00000
   -75.67921     0.00000     0.00000     0.00000     0.00000
   -75.66821     0.00000     0.00000     0.00000     0.00000
   -75.65721     0.00000     0.00000     0.00000     0.00000
   -75.64621     0.00000     0.00000     0.00000     0.00000
   -75.63521     0.00000     0.00000     0.00000     0.00000
   -75.62421     0.00000     0.00000     0.00000     0.00000
   -75.61421     0.00000     0.00000     0.00000     0.00000
   -75.60321     0.00000     0.00000     0.00000     0.00000
   -75.59221     0.00000     0.00000     0.00000     0.00000
   -75.58121     0.00000     0.00000     0.00000     0.00000
   -75.57021     0.00000     0.00000     0.00000     0.00000
   -75.55921     0.00000     0.00000     0.00000     0.00000
   -75.54821     0.00000     0.00000     0.00000     0.00000
   -75.53721     0.00000     0.00000     0.00000     0.00000
   -75.52621     0.00000     0.00000     0.00000     0.00000
   -75.51521     0.00000     0.00000     0.00000     0.00000
   -75.50421     0.00000     0.00000     0.00000     0.00000
   -75.49421     0.00000     0.00000     0.00000     0.00000
   -75.48321     0.00000     0.00000     0.00000     0.00000
   -75.47221     0.00000     0.00000     0.00000     0.00000
   -75.46121     0.00000     0.00000     0.00000     0.00000
   -75.45021     0.00000     0.00000     0.00000     0.00000
   -75.43921     0.00000     0.00000     0.00000     0.00000
   -75.42821     0.00000     0.00000     0.00000     0.00000
   -75.41721     0.00000     0.00000     0.00000     0.00000
   -75.40621     0.00000     0.00000     0.00000     0.00000
   -75.39521     0.00000     0.00000     0.00000     0.00000
   -75.38421     0.00000     0.00000     0.00000     0.00000
   -75.37421     0.00000     0.00000     0.00000     0.00000
   -75.36321     0.00000     0.00000     0.00000     0.00000
   -75.35221     0.00000     0.00000     0.00000     0.00000
   -75.34121     0.00000     0.00000     0.00000     0.00000
   -75.33021     0.00000     0.00000     0.00000     0.00000
   -75.31921     0.00000     0.00000     0.00000     0.00000
   -75.30821     0.00000     0.00000     0.00000     0.00000
   -75.29721     0.00000     0.00000     0.00000     0.00000
   -75.28621     0.00000     0.00000     0.00000     0.00000
   -75.27521     0.00000     0.00000     0.00000     0.00000
   -75.26421     0.00000     0.00000     0.00000     0.00000
   -75.25421     0.00000     0.00000     0.00000     0.00000
   -75.24321     0.00000     0.00000     0.00000     0.00000
   -75.23221     0.00000     0.00000     0.00000     0.00000
   -75.22121     0.00000     0.00000     0.00000     0.00000
   -75.21021     0.00000     0.00000     0.00000     0.00000
   -75.19921     0.00000     0.00000     0.00000     0.00000
   -75.18821     0.00000     0.00000     0.00000     0.00000
   -75.17721     0.00000     0.00000     0.00000     0.00000
   -75.16621     0.00000     0.00000     0.00000     0.00000
   -75.15521     0.00000     0.00000     0.00000     0.00000
   -75.14421     0.00000     0.00000     0.00000     0.00000
   -75.13421     0.00000     0.00000     0.00000     0.00000
   -75.12321     0.00000     0.00000     0.00000     0.00000
   -75.11221     0.00000     0.00000     0.00000     0.00000
   -75.10121     0.00000     0.00000     0.00000     0.00000
   -75.09021     0.00000     0.00000     0.00000     0.00000
   -75.07921     0.00000     0.00000     0.00000     0.00000
   -75.06821     0.00000     0.00000     0.00000     0.00000
   -75.05721     0.00000     0.00000     0.00000     0.00000
   -75.04621     0.00000     0.00000     0.00000     0.00000
   -75.03521     0.00000     0.00000     0.00000     0.00000
   -75.02421     0.00000     0.00000     0.00000     0.00000
   -75.01421     0.00000     0.00000     0.00000     0.00000
   -75.00321     0.00000     0.00000     0.00000     0.00000
   -74.99221     0.00000     0.00000     0.00000     0.00000
   -74.98121     0.00000     0.00000     0.00000     0.00000
   -74.97021     0.00000     0.00000     0.00000     0.00000
   -74.95921     0.00000     0.00000     0.00000     0.00000
   -74.94821     0.00000     0.00000     0.00000     0.00000
   -74.93721     0.00000     0.00000     0.00000     0.00000
   -74.92621     0.00000     0.00000     0.00000     0.00000
   -74.91521     0.00000     0.00000     0.00000     0.00000
   -74.90421     0.00000     0.00000     0.00000     0.00000
   -74.89421     0.00000     0.00000     0.00000     0.00000
   -74.88321     0.00000     0.00000     0.00000     0.00000
   -74.87221     0.00000     0.00000     0.00000     0.00000
   -74.86121     0.00000     0.00000     0.00000     0.00000
   -74.85021     0.00000     0.00000     0.00000     0.00000
   -74.83921     0.00000     0.00000     0.00000     0.00000
   -74.82821     0.00000     0.00000     0.00000     0.00000
   -74.81721     0.00000     0.00000     0.00000     0.00000
   -74.80621     0.00000     0.00000     0.00000     0.00000
   -74.79521     0.00000     0.00000     0.00000     0.00000
   -74.78421     0.00000     0.00000     0.00000     0.00000
   -74.77421     0.00000     0.00000     0.00000     0.00000
   -74.76321     0.00000     0.00000     0.00000     0.00000
   -74.75221     0.00000     0.00000     0.00000     0.00000
   -74.74121     0.00000     0.00000     0.00000     0.00000
   -74.73021     0.00000     0.00000     0.00000     0.00000
