     #Energy       W_all      Mo_all      Pt_all      Ti_all
   -73.31732     0.00000     0.00000     0.00000     0.00000
   -73.30732     0.00000     0.00000     0.00000     0.00000
   -73.29632     0.00000     0.00000     0.00000     0.00000
   -73.28532     0.00000     0.00000     0.00000     0.00000
   -73.27532     0.00000     0.00000     0.00000     0.00000
   -73.26432     0.00000     0.00000     0.00000     0.00000
   -73.25332     0.00000     0.00000     0.00000     0.00000
   -73.24332     0.00000     0.00000     0.00000     0.00000
   -73.23232     0.00000     0.00000     0.00000     0.00000
   -73.22132     0.00000     0.00000     0.00000     0.00000
   -73.21132     0.00000     0.00000     0.00000     0.00000
   -73.20032     0.00000     0.00000     0.00000     0.00000
   -73.18932     0.00000     0.00000     0.00000     0.00000
   -73.17932     0.00000     0.00000     0.00000     0.00000
   -73.16832     0.00000     0.00000     0.00000     0.00000
   -73.15732     0.00000     0.00000     0.00000     0.00000
   -73.14732     0.00000     0.00000     0.00000     0.00000
   -73.13632     0.00000     0.00000     0.00000     0.00000
   -73.12532     0.00000     0.00000     0.00000     0.00000
   -73.11532     0.00000     0.00000     0.00000     0.00000
   -73.10432     0.00000     0.00000     0.00000     0.00000
   -73.09332     0.00000     0.00000     0.00000     0.00000
   -73.08332     0.00000     0.00000     0.00000     0.00000
   -73.07232     0.00000     0.00000     0.00000     0.00000
   -73.06132     0.00000     0.00000     0.00000     0.00000
   -73.05132     0.00000     0.00000     0.00000     0.00000
   -73.04032     0.00000     0.00000     0.00000     0.00000
   -73.02932     0.00000     0.00000     0.00000     0.00000
   -73.01932     0.00000     0.00000     0.00000     0.00000
   -73.00832     0.00000     0.00000     0.00000     0.00000
   -72.99732     0.00000     0.00000     0.00000     0.00000
   -72.98732     0.00000     0.00000     0.00000     0.00000
   -72.97632     0.00000     0.00000     0.00000     0.00000
   -72.96532     0.00000     0.00000     0.00000     0.00000
   -72.95532     0.00000     0.00000     0.00000     0.00000
   -72.94432     0.00000     0.00000     0.00000     0.00000
   -72.93332     0.00000     0.00000     0.00000     0.00000
   -72.92332     0.00000     0.00000     0.00000     0.00000
   -72.91232     0.00000     0.00000     0.00000     0.00000
   -72.90132     0.00000     0.00000     0.00000     0.00000
   -72.89132     0.00000     0.00000     0.00000     0.00000
   -72.88032     0.00000     0.00000     0.00000     0.00000
   -72.86932     0.00000     0.00000     0.00000     0.00000
   -72.85932     0.00000     0.00000     0.00000     0.00000
   -72.84832     0.00000     0.00000     0.00000     0.00000
   -72.83732     0.00000     0.00000     0.00000     0.00000
   -72.82732     0.00000     0.00000     0.00000     0.00000
   -72.81632     0.00000     0.00000     0.00000     0.00000
   -72.80532     0.00000     0.00000     0.00000     0.00000
   -72.79432     0.00000     0.00000     0.00000     0.00000
   -72.78432     0.00000     0.00000     0.00000     0.00000
   -72.77332     0.00000     0.00000     0.00000     0.00000
   -72.76232     0.00000     0.00000     0.00000     0.00000
   -72.75232     0.00000     0.00000     0.00000     0.00000
   -72.74132     0.00000     0.00000     0.00000     0.00000
   -72.73032     0.00000     0.00000     0.00000     0.00000
   -72.72032     0.00000     0.00000     0.00000     0.00000
   -72.70932     0.00000     0.00000     0.00000     0.00000
   -72.69832     0.00000     0.00000     0.00000     0.00000
   -72.68832     0.00000     0.00000     0.00000     0.00000
   -72.67732     0.00000     0.00000     0.00000     0.00000
   -72.66632     0.00000     0.00000     0.00000     0.00000
   -72.65632     0.00000     0.00000     0.00000     0.00000
   -72.64532     0.00000     0.00000     0.00000     0.00000
   -72.63432     0.00000     0.00000     0.00000     0.00000
   -72.62432     0.00000     0.00000     0.00000     0.00000
