     #Energy       W_all      Mo_all      Ir_all      Zr_all
   -75.58598     0.00000     0.00000     0.00000     0.00000
   -75.57498     0.00000     0.00000     0.00000     0.00000
   -75.56398     0.00000     0.00000     0.00000     0.00000
   -75.55298     0.00000     0.00000     0.00000     0.00000
   -75.54198     0.00000     0.00000     0.00000     0.00000
   -75.53098     0.00000     0.00000     0.00000     0.00000
   -75.52098     0.00000     0.00000     0.00000     0.00000
   -75.50998     0.00000     0.00000     0.00000     0.00000
   -75.49898     0.00000     0.00000     0.00000     0.00000
   -75.48798     0.00000     0.00000     0.00000     0.00000
   -75.47698     0.00000     0.00000     0.00000     0.00000
   -75.46598     0.00000     0.00000     0.00000     0.00000
   -75.45498     0.00000     0.00000     0.00000     0.00000
   -75.44398     0.00000     0.00000     0.00000     0.00000
   -75.43298     0.00000     0.00000     0.00000     0.00000
   -75.42198     0.00000     0.00000     0.00000     0.00000
   -75.41098     0.00000     0.00000     0.00000     0.00000
   -75.39998     0.00000     0.00000     0.00000     0.00000
   -75.38898     0.00000     0.00000     0.00000     0.00000
   -75.37798     0.00000     0.00000     0.00000     0.00000
   -75.36698     0.00000     0.00000     0.00000     0.00000
   -75.35698     0.00000     0.00000     0.00000     0.00000
   -75.34598     0.00000     0.00000     0.00000     0.00000
   -75.33498     0.00000     0.00000     0.00000     0.00000
   -75.32398     0.00000     0.00000     0.00000     0.00000
   -75.31298     0.00000     0.00000     0.00000     0.00000
   -75.30198     0.00000     0.00000     0.00000     0.00000
   -75.29098     0.00000     0.00000     0.00000     0.00000
   -75.27998     0.00000     0.00000     0.00000     0.00000
   -75.26898     0.00000     0.00000     0.00000     0.00000
   -75.25798     0.00000     0.00000     0.00000     0.00000
   -75.24698     0.00000     0.00000     0.00000     0.00000
   -75.23598     0.00000     0.00000     0.00000     0.00000
   -75.22498     0.00000     0.00000     0.00000     0.00000
   -75.21398     0.00000     0.00000     0.00000     0.00000
   -75.20298     0.00000     0.00000     0.00000     0.00000
   -75.19198     0.00000     0.00000     0.00000     0.00000
   -75.18198     0.00000     0.00000     0.00000     0.00000
   -75.17098     0.00000     0.00000     0.00000     0.00000
   -75.15998     0.00000     0.00000     0.00000     0.00000
   -75.14898     0.00000     0.00000     0.00000     0.00000
   -75.13798     0.00000     0.00000     0.00000     0.00000
   -75.12698     0.00000     0.00000     0.00000     0.00000
   -75.11598     0.00000     0.00000     0.00000     0.00000
   -75.10498     0.00000     0.00000     0.00000     0.00000
   -75.09398     0.00000     0.00000     0.00000     0.00000
   -75.08298     0.00000     0.00000     0.00000     0.00000
   -75.07198     0.00000     0.00000     0.00000     0.00000
   -75.06098     0.00000     0.00000     0.00000     0.00000
   -75.04998     0.00000     0.00000     0.00000     0.00000
   -75.03898     0.00000     0.00000     0.00000     0.00000
   -75.02798     0.00000     0.00000     0.00000     0.00000
   -75.01698     0.00000     0.00000     0.00000     0.00000
   -75.00698     0.00000     0.00000     0.00000     0.00000
   -74.99598     0.00000     0.00000     0.00000     0.00000
   -74.98498     0.00000     0.00000     0.00000     0.00000
   -74.97398     0.00000     0.00000     0.00000     0.00000
   -74.96298     0.00000     0.00000     0.00000     0.00000
   -74.95198     0.00000     0.00000     0.00000     0.00000
   -74.94098     0.00000     0.00000     0.00000     0.00000
   -74.92998     0.00000     0.00000     0.00000     0.00000
   -74.91898     0.00000     0.00000     0.00000     0.00000
   -74.90798     0.00000     0.00000     0.00000     0.00000
   -74.89698     0.00000     0.00000     0.00000     0.00000
   -74.88598     0.00000     0.00000     0.00000     0.00000
   -74.87498     0.00000     0.00000     0.00000     0.00000
   -74.86398     0.00000     0.00000     0.00000     0.00000
   -74.85298     0.00000     0.00000     0.00000     0.00000
   -74.84198     0.00000     0.00000     0.00000     0.00000
   -74.83198     0.00000     0.00000     0.00000     0.00000
   -74.82098     0.00000     0.00000     0.00000     0.00000
   -74.80998     0.00000     0.00000     0.00000     0.00000
   -74.79898     0.00000     0.00000     0.00000     0.00000
   -74.78798     0.00000     0.00000     0.00000     0.00000
   -74.77698     0.00000     0.00000     0.00000     0.00000
   -74.76598     0.00000     0.00000     0.00000     0.00000
   -74.75498     0.00000     0.00000     0.00000     0.00000
   -74.74398     0.00000     0.00000     0.00000     0.00000
   -74.73298     0.00000     0.00000     0.00000     0.00000
   -74.72198     0.00000     0.00000     0.00000     0.00000
   -74.71098     0.00000     0.00000     0.00000     0.00000
   -74.69998     0.00000     0.00000     0.00000     0.00000
   -74.68898     0.00000     0.00000     0.00000     0.00000
   -74.67798     0.00000     0.00000     0.00000     0.00000
   -74.66698     0.00000     0.00000     0.00000     0.00000
   -74.65698     0.00000     0.00000     0.00000     0.00000
   -74.64598     0.00000     0.00000     0.00000     0.00000
   -74.63498     0.00000     0.00000     0.00000     0.00000
   -74.62398     0.00000     0.00000     0.00000     0.00000
   -74.61298     0.00000     0.00000     0.00000     0.00000
   -74.60198     0.00000     0.00000     0.00000     0.00000
   -74.59098     0.00000     0.00000     0.00000     0.00000
   -74.57998     0.00000     0.00000     0.00000     0.00000
   -74.56898     0.00000     0.00000     0.00000     0.00000
   -74.55798     0.00000     0.00000     0.00000     0.00000
   -74.54698     0.00000     0.00000     0.00000     0.00000
   -74.53598     0.00000     0.00000     0.00000     0.00000
   -74.52498     0.00000     0.00000     0.00000     0.00000
   -74.51398     0.00000     0.00000     0.00000     0.00000
   -74.50298     0.00000     0.00000     0.00000     0.00000
   -74.49298     0.00000     0.00000     0.00000     0.00000
   -74.48198     0.00000     0.00000     0.00000     0.00000
   -74.47098     0.00000     0.00000     0.00000     0.00000
   -74.45998     0.00000     0.00000     0.00000     0.00000
   -74.44898     0.00000     0.00000     0.00000     0.00000
   -74.43798     0.00000     0.00000     0.00000     0.00000
   -74.42698     0.00000     0.00000     0.00000     0.00000
   -74.41598     0.00000     0.00000     0.00000     0.00000
   -74.40498     0.00000     0.00000     0.00000     0.00000
   -74.39398     0.00000     0.00000     0.00000     0.00000
   -74.38298     0.00000     0.00000     0.00000     0.00000
   -74.37198     0.00000     0.00000     0.00000     0.00000
   -74.36098     0.00000     0.00000     0.00000     0.00000
   -74.34998     0.00000     0.00000     0.00000     0.00000
   -74.33898     0.00000     0.00000     0.00000     0.00000
   -74.32798     0.00000     0.00000     0.00000     0.00000
   -74.31798     0.00000     0.00000     0.00000     0.00000
   -74.30698     0.00000     0.00000     0.00000     0.00000
   -74.29598     0.00000     0.00000     0.00000     0.00000
   -74.28498   182.38599     0.00338     0.00485     0.00001
   -74.27398     0.00000     0.00000     0.00000     0.00000
   -74.26298     0.00000     0.00000     0.00000     0.00000
   -74.25198     0.00000     0.00000     0.00000     0.00000
   -74.24098     0.00000     0.00000     0.00000     0.00000
   -74.22998   182.39224     0.00826     0.00517     0.00000
   -74.21898     0.00000     0.00000     0.00000     0.00000
   -74.20798     0.00000     0.00000     0.00000     0.00000
   -74.19698     0.00000     0.00000     0.00000     0.00000
   -74.18598     0.00000     0.00000     0.00000     0.00000
   -74.17498     0.00000     0.00000     0.00000     0.00000
   -74.16398   182.40081     0.00511     0.00285     0.00001
   -74.15298     0.00000     0.00000     0.00000     0.00000
   -74.14298     0.00000     0.00000     0.00000     0.00000
   -74.13198     0.00000     0.00000     0.00000     0.00000
   -74.12098     0.00000     0.00000     0.00000     0.00000
   -74.10998     0.00000     0.00000     0.00000     0.00000
   -74.09898     0.00000     0.00000     0.00000     0.00000
   -74.08798   182.47626     0.00420     0.00015     0.00002
   -74.07698     0.00000     0.00000     0.00000     0.00000
   -74.06598     0.00000     0.00000     0.00000     0.00000
   -74.05498     0.00000     0.00000     0.00000     0.00000
