     #Energy       W_all      Mo_all      Re_all
   -82.26508     0.00000     0.00000     0.00000
   -82.25308     0.00000     0.00000     0.00000
   -82.24208     0.00000     0.00000     0.00000
   -82.23008     0.00000     0.00000     0.00000
   -82.21808     0.00000     0.00000     0.00000
   -82.20608     0.00000     0.00000     0.00000
   -82.19408     0.00000     0.00000     0.00000
   -82.18208     0.00000     0.00000     0.00000
   -82.17108     0.00000     0.00000     0.00000
   -82.15908     0.00000     0.00000     0.00000
   -82.14708     0.00000     0.00000     0.00000
   -82.13508     0.00000     0.00000     0.00000
   -82.12308     0.00000     0.00000     0.00000
   -82.11108     0.00000     0.00000     0.00000
   -82.09908     0.00000     0.00000     0.00000
   -82.08808     0.00000     0.00000     0.00000
   -82.07608     0.00000     0.00000     0.00000
   -82.06408     0.00000     0.00000     0.00000
   -82.05208     0.00000     0.00000     0.00000
   -82.04008     0.00000     0.00000     0.00000
   -82.02808     0.00000     0.00000     0.00000
   -82.01708     0.00000     0.00000     0.00000
   -82.00508     0.00000     0.00000     0.00000
   -81.99308     0.00000     0.00000     0.00000
   -81.98108     0.00000     0.00000     0.00000
   -81.96908     0.00000     0.00000     0.00000
   -81.95708     0.00000     0.00000     0.00000
   -81.94608     0.00000     0.00000     0.00000
   -81.93408     0.00000     0.00000     0.00000
   -81.92208     0.00000     0.00000     0.00000
   -81.91008     0.00000     0.00000     0.00000
   -81.89808     0.00000     0.00000     0.00000
   -81.88608     0.00000     0.00000     0.00000
   -81.87408     0.00000     0.00000     0.00000
   -81.86308     0.00000     0.00000     0.00000
   -81.85108     0.00000     0.00000     0.00000
   -81.83908     0.00000     0.00000     0.00000
   -81.82708     0.00000     0.00000     0.00000
   -81.81508     0.00000     0.00000     0.00000
   -81.80308     0.00000     0.00000     0.00000
   -81.79208     0.00000     0.00000     0.00000
   -81.78008     0.00000     0.00000     0.00000
   -81.76808     0.00000     0.00000     0.00000
   -81.75608     0.00000     0.00000     0.00000
   -81.74408     0.00000     0.00000     0.00000
   -81.73208     0.00000     0.00000     0.00000
   -81.72008     0.00000     0.00000     0.00000
   -81.70908     0.00000     0.00000     0.00000
   -81.69708     0.00000     0.00000     0.00000
   -81.68508     0.00000     0.00000     0.00000
   -81.67308     0.00000     0.00000     0.00000
   -81.66108     0.00000     0.00000     0.00000
   -81.64908     0.00000     0.00000     0.00000
   -81.63808     0.00000     0.00000     0.00000
   -81.62608     0.00000     0.00000     0.00000
   -81.61408     0.00000     0.00000     0.00000
   -81.60208     0.00000     0.00000     0.00000
   -81.59008     0.00000     0.00000     0.00000
   -81.57808     0.00000     0.00000     0.00000
   -81.56708     0.00000     0.00000     0.00000
   -81.55508     0.00000     0.00000     0.00000
   -81.54308     0.00000     0.00000     0.00000
   -81.53108     0.00000     0.00000     0.00000
   -81.51908     0.00000     0.00000     0.00000
   -81.50708     0.00000     0.00000     0.00000
   -81.49508     0.00000     0.00000     0.00000
   -81.48408     0.00000     0.00000     0.00000
   -81.47208     0.00000     0.00000     0.00000
   -81.46008     0.00000     0.00000     0.00000
   -81.44808     0.00000     0.00000     0.00000
   -81.43608     0.00000     0.00000     0.00000
   -81.42408     0.00000     0.00000     0.00000
   -81.41308     0.00000     0.00000     0.00000
   -81.40108     0.00000     0.00000     0.00000
   -81.38908     0.00000     0.00000     0.00000
   -81.37708     0.00000     0.00000     0.00000
   -81.36508     0.00000     0.00000     0.00000
   -81.35308     0.00000     0.00000     0.00000
   -81.34108     0.00000     0.00000     0.00000
   -81.33008     0.00000     0.00000     0.00000
   -81.31808     0.00000     0.00000     0.00000
   -81.30608     0.00000     0.00000     0.00000
   -81.29408     0.00000     0.00000     0.00000
   -81.28208     0.00000     0.00000     0.00000
   -81.27008     0.00000     0.00000     0.00000
   -81.25908     0.00000     0.00000     0.00000
   -81.24708     0.00000     0.00000     0.00000
   -81.23508     0.00000     0.00000     0.00000
   -81.22308     0.00000     0.00000     0.00000
   -81.21108     0.00000     0.00000     0.00000
   -81.19908     0.00000     0.00000     0.00000
   -81.18808     0.00000     0.00000     0.00000
   -81.17608     0.00000     0.00000     0.00000
   -81.16408     0.00000     0.00000     0.00000
   -81.15208     0.00000     0.00000     0.00000
   -81.14008     0.00000     0.00000     0.00000
   -81.12808     0.00000     0.00000     0.00000
   -81.11608     0.00000     0.00000     0.00000
   -81.10508     0.00000     0.00000     0.00000
   -81.09308     0.00000     0.00000     0.00000
   -81.08108     0.00000     0.00000     0.00000
   -81.06908     0.00000     0.00000     0.00000
   -81.05708     0.00000     0.00000     0.00000
   -81.04508     0.00000     0.00000     0.00000
   -81.03408     0.00000     0.00000     0.00000
   -81.02208     0.00000     0.00000     0.00000
   -81.01008     0.00000     0.00000     0.00000
   -80.99808     0.00000     0.00000     0.00000
   -80.98608     0.00000     0.00000     0.00000
   -80.97408     0.00000     0.00000     0.00000
   -80.96308     0.00000     0.00000     0.00000
   -80.95108     0.00000     0.00000     0.00000
   -80.93908     0.00000     0.00000     0.00000
   -80.92708     0.00000     0.00000     0.00000
   -80.91508     0.00000     0.00000     0.00000
   -80.90308     0.00000     0.00000     0.00000
   -80.89108     0.00000     0.00000     0.00000
   -80.88008     0.00000     0.00000     0.00000
   -80.86808     0.00000     0.00000     0.00000
   -80.85608     0.00000     0.00000     0.00000
   -80.84408     0.00000     0.00000     0.00000
   -80.83208     0.00000     0.00000     0.00000
   -80.82008     0.00000     0.00000     0.00000
   -80.80908     0.00000     0.00000     0.00000
   -80.79708     0.00000     0.00000     0.00000
   -80.78508     0.00000     0.00000     0.00000
   -80.77308     0.00000     0.00000     0.00000
   -80.76108     0.00000     0.00000     0.00000
   -80.74908     0.00000     0.00000     0.00000
   -80.73708     0.00000     0.00000     0.00000
   -80.72608     0.00000     0.00000     0.00000
   -80.71408     0.00000     0.00000     0.00000
   -80.70208     0.00000     0.00000     0.00000
   -80.69008     0.00000     0.00000     0.00000
   -80.67808     0.00000     0.00000     0.00000
   -80.66608     0.00000     0.00000     0.00000
   -80.65508     0.00000     0.00000     0.00000
   -80.64308     0.00000     0.00000     0.00000
   -80.63108     0.00000     0.00000     0.00000
   -80.61908     0.00000     0.00000     0.00000
   -80.60708     0.00000     0.00000     0.00000
   -80.59508     0.00000     0.00000     0.00000
   -80.58408     0.00609     0.00202   196.39325
   -80.57208     0.00546     0.00168   196.38769
   -80.56008     0.00000     0.00000     0.00000
   -80.54808     0.00000     0.00000     0.00000
   -80.53608     0.00417     0.00222   196.18153
   -80.52408     0.00000     0.00000     0.00000
