     #Energy       W_all      Mo_all      Ir_all
   -76.02931     0.00000     0.00000     0.00000
   -76.01931     0.00000     0.00000     0.00000
   -76.00831     0.00000     0.00000     0.00000
   -75.99831     0.00000     0.00000     0.00000
   -75.98731     0.00000     0.00000     0.00000
   -75.97631     0.00000     0.00000     0.00000
   -75.96631     0.00000     0.00000     0.00000
   -75.95531     0.00000     0.00000     0.00000
   -75.94431     0.00000     0.00000     0.00000
   -75.93431     0.00000     0.00000     0.00000
   -75.92331     0.00000     0.00000     0.00000
   -75.91331     0.00000     0.00000     0.00000
   -75.90231     0.00000     0.00000     0.00000
   -75.89131     0.00000     0.00000     0.00000
   -75.88131     0.00000     0.00000     0.00000
   -75.87031     0.00000     0.00000     0.00000
   -75.86031     0.00000     0.00000     0.00000
   -75.84931     0.00000     0.00000     0.00000
   -75.83831     0.00000     0.00000     0.00000
   -75.82831     0.00000     0.00000     0.00000
   -75.81731     0.00000     0.00000     0.00000
   -75.80631     0.00000     0.00000     0.00000
   -75.79631     0.00000     0.00000     0.00000
   -75.78531     0.00000     0.00000     0.00000
   -75.77531     0.00000     0.00000     0.00000
   -75.76431     0.00000     0.00000     0.00000
   -75.75331     0.00000     0.00000     0.00000
   -75.74331     0.00000     0.00000     0.00000
   -75.73231     0.00000     0.00000     0.00000
   -75.72131     0.00000     0.00000     0.00000
   -75.71131     0.00000     0.00000     0.00000
   -75.70031     0.00000     0.00000     0.00000
   -75.69031     0.00000     0.00000     0.00000
   -75.67931     0.00000     0.00000     0.00000
   -75.66831     0.00000     0.00000     0.00000
   -75.65831     0.00000     0.00000     0.00000
   -75.64731     0.00000     0.00000     0.00000
   -75.63631     0.00000     0.00000     0.00000
   -75.62631     0.00000     0.00000     0.00000
   -75.61531     0.00000     0.00000     0.00000
   -75.60531     0.00000     0.00000     0.00000
   -75.59431     0.00000     0.00000     0.00000
   -75.58331     0.00000     0.00000     0.00000
   -75.57331     0.00000     0.00000     0.00000
   -75.56231     0.00000     0.00000     0.00000
   -75.55231     0.00000     0.00000     0.00000
   -75.54131     0.00000     0.00000     0.00000
   -75.53031     0.00000     0.00000     0.00000
   -75.52031     0.00000     0.00000     0.00000
   -75.50931     0.00000     0.00000     0.00000
   -75.49831     0.00000     0.00000     0.00000
   -75.48831     0.00000     0.00000     0.00000
   -75.47731     0.00000     0.00000     0.00000
   -75.46731     0.00000     0.00000     0.00000
   -75.45631     0.00000     0.00000     0.00000
   -75.44531     0.00000     0.00000     0.00000
   -75.43531     0.00000     0.00000     0.00000
   -75.42431     0.00000     0.00000     0.00000
   -75.41331     0.00000     0.00000     0.00000
   -75.40331     0.00000     0.00000     0.00000
   -75.39231     0.00000     0.00000     0.00000
   -75.38231     0.00000     0.00000     0.00000
   -75.37131     0.00000     0.00000     0.00000
   -75.36031     0.00000     0.00000     0.00000
   -75.35031     0.00000     0.00000     0.00000
   -75.33931     0.00000     0.00000     0.00000
   -75.32831     0.00000     0.00000     0.00000
   -75.31831     0.00000     0.00000     0.00000
   -75.30731     0.00000     0.00000     0.00000
   -75.29731     0.00000     0.00000     0.00000
   -75.28631     0.00000     0.00000     0.00000
   -75.27531     0.00000     0.00000     0.00000
   -75.26531     0.00000     0.00000     0.00000
   -75.25431     0.00000     0.00000     0.00000
   -75.24431     0.00000     0.00000     0.00000
   -75.23331     0.00000     0.00000     0.00000
   -75.22231     0.00000     0.00000     0.00000
   -75.21231     0.00000     0.00000     0.00000
   -75.20131     0.00000     0.00000     0.00000
   -75.19031     0.00000     0.00000     0.00000
   -75.18031     0.00000     0.00000     0.00000
   -75.16931     0.00000     0.00000     0.00000
   -75.15931     0.00000     0.00000     0.00000
   -75.14831     0.00000     0.00000     0.00000
   -75.13731     0.00000     0.00000     0.00000
   -75.12731     0.00000     0.00000     0.00000
   -75.11631     0.00000     0.00000     0.00000
   -75.10531     0.00000     0.00000     0.00000
   -75.09531     0.00000     0.00000     0.00000
   -75.08431     0.00000     0.00000     0.00000
   -75.07431     0.00000     0.00000     0.00000
   -75.06331     0.00000     0.00000     0.00000
   -75.05231     0.00000     0.00000     0.00000
   -75.04231     0.00000     0.00000     0.00000
   -75.03131     0.00000     0.00000     0.00000
   -75.02031     0.00000     0.00000     0.00000
   -75.01031     0.00000     0.00000     0.00000
   -74.99931     0.00000     0.00000     0.00000
   -74.98931     0.00000     0.00000     0.00000
   -74.97831     0.00000     0.00000     0.00000
   -74.96731     0.00000     0.00000     0.00000
   -74.95731     0.00000     0.00000     0.00000
   -74.94631     0.00000     0.00000     0.00000
   -74.93631     0.00000     0.00000     0.00000
   -74.92531     0.00000     0.00000     0.00000
   -74.91431     0.00000     0.00000     0.00000
   -74.90431     0.00000     0.00000     0.00000
   -74.89331     0.00000     0.00000     0.00000
   -74.88231     0.00000     0.00000     0.00000
   -74.87231     0.00000     0.00000     0.00000
   -74.86131     0.00000     0.00000     0.00000
   -74.85131     0.00000     0.00000     0.00000
   -74.84031     0.00000     0.00000     0.00000
   -74.82931     0.00000     0.00000     0.00000
   -74.81931     0.00000     0.00000     0.00000
   -74.80831     0.00000     0.00000     0.00000
   -74.79731     0.00000     0.00000     0.00000
   -74.78731     0.00000     0.00000     0.00000
