     #Energy       W_all      Mo_all      Re_all      Hf_all
   -80.64000     0.00000     0.00000     0.00000     0.00000
   -80.62900     0.00000     0.00000     0.00000     0.00000
   -80.61700     0.00000     0.00000     0.00000     0.00000
   -80.60500     0.00000     0.00000     0.00000     0.00000
   -80.59400     0.00000     0.00000     0.00000     0.00000
   -80.58200     0.00000     0.00000     0.00000     0.00000
   -80.57100     0.00000     0.00000     0.00000     0.00000
   -80.55900     0.00000     0.00000     0.00000     0.00000
   -80.54700     0.00000     0.00000     0.00000     0.00000
   -80.53600     0.00000     0.00000     0.00000     0.00000
   -80.52400     0.00000     0.00000     0.00000     0.00000
   -80.51200     0.00000     0.00000     0.00000     0.00000
   -80.50100     0.00000     0.00000     0.00000     0.00000
   -80.48900     0.00000     0.00000     0.00000     0.00000
   -80.47700     0.00000     0.00000     0.00000     0.00000
   -80.46600     0.00000     0.00000     0.00000     0.00000
   -80.45400     0.00000     0.00000     0.00000     0.00000
   -80.44200     0.00000     0.00000     0.00000     0.00000
   -80.43100     0.00000     0.00000     0.00000     0.00000
   -80.41900     0.00000     0.00000     0.00000     0.00000
   -80.40700     0.00443     0.00335   199.40020     0.00000
   -80.39600     0.00000     0.00000     0.00000     0.00000
   -80.38400     0.00000     0.00000     0.00000     0.00000
   -80.37200     0.00399     0.00162   199.97187     0.00121
   -80.36100     0.00377     0.00133   199.25189     0.00106
   -80.34900     0.00000     0.00000     0.00000     0.00000
   -80.33700     0.00000     0.00000     0.00000     0.00000
   -80.32600     0.00000     0.00000     0.00000     0.00000
   -80.31400     0.00408     0.00104   199.46644     0.00100
   -80.30200     0.00000     0.00000     0.00000     0.00000
   -80.29100     0.00000     0.00000     0.00000     0.00000
   -80.27900     0.00000     0.00000     0.00000     0.00000
   -80.26700     0.00000     0.00000     0.00000     0.00000
   -80.25600     0.00000     0.00000     0.00000     0.00000
   -80.24400     0.00000     0.00000     0.00000     0.00000
   -80.23200     0.00000     0.00000     0.00000     0.00000
   -80.22100     0.00000     0.00000     0.00000     0.00000
   -80.20900     0.00000     0.00000     0.00000     0.00000
   -80.19800     0.00000     0.00000     0.00000     0.00000
   -80.18600     0.00000     0.00000     0.00000     0.00000
   -80.17400     0.00000     0.00000     0.00000     0.00000
   -80.16300     0.00000     0.00000     0.00000     0.00000
   -80.15100     0.00000     0.00000     0.00000     0.00000
   -80.13900     0.00000     0.00000     0.00000     0.00000
   -80.12800     0.00000     0.00000     0.00000     0.00000
   -80.11600     0.00000     0.00000     0.00000     0.00000
   -80.10400     0.00000     0.00000     0.00000     0.00000
   -80.09300     0.00000     0.00000     0.00000     0.00000
   -80.08100     0.00000     0.00000     0.00000     0.00000
   -80.06900     0.00000     0.00000     0.00000     0.00000
   -80.05800     0.00000     0.00000     0.00000     0.00000
   -80.04600     0.00000     0.00000     0.00000     0.00000
   -80.03400     0.00000     0.00000     0.00000     0.00000
   -80.02300     0.00000     0.00000     0.00000     0.00000
   -80.01100     0.00000     0.00000     0.00000     0.00000
   -79.99900     0.00000     0.00000     0.00000     0.00000
   -79.98800     0.00000     0.00000     0.00000     0.00000
