     #Energy       W_all      Mo_all      Ru_all
   -73.98292     0.00000     0.00000     0.00000
   -73.97092   180.71641     0.00516     0.00037
   -73.95992     0.00000     0.00000     0.00000
   -73.94892     0.00000     0.00000     0.00000
   -73.93792     0.00000     0.00000     0.00000
   -73.92692     0.00000     0.00000     0.00000
   -73.91592     0.00000     0.00000     0.00000
   -73.90492     0.00000     0.00000     0.00000
   -73.89392     0.00000     0.00000     0.00000
   -73.88292     0.00000     0.00000     0.00000
   -73.87192     0.00000     0.00000     0.00000
   -73.86092     0.00000     0.00000     0.00000
   -73.84992     0.00000     0.00000     0.00000
   -73.83892     0.00000     0.00000     0.00000
   -73.82792     0.00000     0.00000     0.00000
   -73.81692     0.00000     0.00000     0.00000
   -73.80592     0.00000     0.00000     0.00000
   -73.79492     0.00000     0.00000     0.00000
   -73.78392     0.00000     0.00000     0.00000
   -73.77292     0.00000     0.00000     0.00000
   -73.76192     0.00000     0.00000     0.00000
   -73.75092     0.00000     0.00000     0.00000
   -73.73992     0.00000     0.00000     0.00000
   -73.72792     0.00000     0.00000     0.00000
   -73.71692     0.00000     0.00000     0.00000
   -73.70592     0.00000     0.00000     0.00000
   -73.69492     0.00000     0.00000     0.00000
   -73.68392     0.00000     0.00000     0.00000
   -73.67292     0.00000     0.00000     0.00000
   -73.66192     0.00000     0.00000     0.00000
   -73.65092     0.00000     0.00000     0.00000
   -73.63992     0.00000     0.00000     0.00000
   -73.62892     0.00000     0.00000     0.00000
   -73.61792     0.00000     0.00000     0.00000
   -73.60692     0.00000     0.00000     0.00000
   -73.59592     0.00000     0.00000     0.00000
   -73.58492     0.00000     0.00000     0.00000
   -73.57392     0.00000     0.00000     0.00000
   -73.56292     0.00000     0.00000     0.00000
   -73.55192     0.00000     0.00000     0.00000
   -73.54092     0.00000     0.00000     0.00000
   -73.52992     0.00000     0.00000     0.00000
   -73.51892     0.00000     0.00000     0.00000
   -73.50792     0.00000     0.00000     0.00000
   -73.49592     0.00000     0.00000     0.00000
   -73.48492     0.00000     0.00000     0.00000
   -73.47392     0.00000     0.00000     0.00000
   -73.46292     0.00000     0.00000     0.00000
   -73.45192     0.00000     0.00000     0.00000
   -73.44092     0.00000     0.00000     0.00000
   -73.42992     0.00000     0.00000     0.00000
   -73.41892     0.00000     0.00000     0.00000
   -73.40792     0.00000     0.00000     0.00000
   -73.39692     0.00000     0.00000     0.00000
   -73.38592     0.00000     0.00000     0.00000
   -73.37492     0.00000     0.00000     0.00000
   -73.36392     0.00000     0.00000     0.00000
   -73.35292     0.00000     0.00000     0.00000
   -73.34192     0.00000     0.00000     0.00000
   -73.33092     0.00000     0.00000     0.00000
   -73.31992     0.00000     0.00000     0.00000
   -73.30892     0.00000     0.00000     0.00000
   -73.29792     0.00000     0.00000     0.00000
   -73.28692     0.00000     0.00000     0.00000
   -73.27592     0.00000     0.00000     0.00000
   -73.26492     0.00000     0.00000     0.00000
   -73.25292     0.00000     0.00000     0.00000
   -73.24192     0.00000     0.00000     0.00000
   -73.23092     0.00000     0.00000     0.00000
   -73.21992     0.00000     0.00000     0.00000
   -73.20892     0.00000     0.00000     0.00000
   -73.19792     0.00000     0.00000     0.00000
   -73.18692     0.00000     0.00000     0.00000
   -73.17592     0.00000     0.00000     0.00000
   -73.16492     0.00000     0.00000     0.00000
   -73.15392     0.00000     0.00000     0.00000
   -73.14292     0.00000     0.00000     0.00000
   -73.13192     0.00000     0.00000     0.00000
   -73.12092     0.00000     0.00000     0.00000
   -73.10992     0.00000     0.00000     0.00000
   -73.09892     0.00000     0.00000     0.00000
   -73.08792     0.00000     0.00000     0.00000
   -73.07692     0.00000     0.00000     0.00000
   -73.06592     0.00000     0.00000     0.00000
   -73.05492     0.00000     0.00000     0.00000
   -73.04392     0.00000     0.00000     0.00000
   -73.03292     0.00000     0.00000     0.00000
   -73.02192     0.00000     0.00000     0.00000
   -73.00992     0.00000     0.00000     0.00000
   -72.99892     0.00000     0.00000     0.00000
   -72.98792     0.00000     0.00000     0.00000
   -72.97692     0.00000     0.00000     0.00000
   -72.96592     0.00000     0.00000     0.00000
   -72.95492     0.00000     0.00000     0.00000
   -72.94392     0.00000     0.00000     0.00000
   -72.93292     0.00000     0.00000     0.00000
   -72.92192     0.00000     0.00000     0.00000
   -72.91092     0.00000     0.00000     0.00000
   -72.89992     0.00000     0.00000     0.00000
   -72.88892     0.00000     0.00000     0.00000
   -72.87792     0.00000     0.00000     0.00000
   -72.86692     0.00000     0.00000     0.00000
   -72.85592     0.00000     0.00000     0.00000
   -72.84492     0.00000     0.00000     0.00000
   -72.83392     0.00000     0.00000     0.00000
   -72.82292     0.00000     0.00000     0.00000
   -72.81192     0.00000     0.00000     0.00000
   -72.80092     0.00000     0.00000     0.00000
   -72.78992     0.00000     0.00000     0.00000
   -72.77892     0.00000     0.00000     0.00000
   -72.76692     0.00000     0.00000     0.00000
   -72.75592     0.00000     0.00000     0.00000
   -72.74492     0.00000     0.00000     0.00000
   -72.73392     0.00000     0.00000     0.00000
   -72.72292     0.00000     0.00000     0.00000
   -72.71192     0.00000     0.00000     0.00000
   -72.70092     0.00000     0.00000     0.00000
   -72.68992     0.00000     0.00000     0.00000
   -72.67892     0.00000     0.00000     0.00000
   -72.66792     0.00000     0.00000     0.00000
   -72.65692     0.00000     0.00000     0.00000
   -72.64592     0.00000     0.00000     0.00000
   -72.63492     0.00000     0.00000     0.00000
   -72.62392     0.00000     0.00000     0.00000
   -72.61292     0.00000     0.00000     0.00000
   -72.60192     0.00000     0.00000     0.00000
   -72.59092     0.00000     0.00000     0.00000
   -72.57992     0.00000     0.00000     0.00000
   -72.56892     0.00000     0.00000     0.00000
   -72.55792     0.00000     0.00000     0.00000
   -72.54692     0.00000     0.00000     0.00000
   -72.53592     0.00000     0.00000     0.00000
   -72.52392     0.00000     0.00000     0.00000
   -72.51292     0.00000     0.00000     0.00000
   -72.50192     0.00000     0.00000     0.00000
   -72.49092     0.00000     0.00000     0.00000
   -72.47992     0.00000     0.00000     0.00000
   -72.46892     0.00000     0.00000     0.00000
   -72.45792     0.00000     0.00000     0.00000
   -72.44692     0.00000     0.00000     0.00000
   -72.43592     0.00000     0.00000     0.00000
   -72.42492     0.00000     0.00000     0.00000
   -72.41392     0.00000     0.00000     0.00000
   -72.40292     0.00000     0.00000     0.00000
   -72.39192     0.00000     0.00000     0.00000
   -72.38092     0.00000     0.00000     0.00000
   -72.36992     0.00000     0.00000     0.00000
   -72.35892     0.00000     0.00000     0.00000
   -72.34792     0.00000     0.00000     0.00000
   -72.33692     0.00000     0.00000     0.00000
   -72.32592     0.00000     0.00000     0.00000
   -72.31492     0.00000     0.00000     0.00000
   -72.30392     0.00000     0.00000     0.00000
   -72.29292     0.00000     0.00000     0.00000
   -72.28092     0.00000     0.00000     0.00000
   -72.26992     0.00000     0.00000     0.00000
   -72.25892     0.00000     0.00000     0.00000
   -72.24792     0.00000     0.00000     0.00000
   -72.23692     0.00000     0.00000     0.00000
   -72.22592     0.00000     0.00000     0.00000
   -72.21492     0.00000     0.00000     0.00000
   -72.20392     0.00000     0.00000     0.00000
   -72.19292     0.00000     0.00000     0.00000
   -72.18192     0.00000     0.00000     0.00000
   -72.17092     0.00000     0.00000     0.00000
   -72.15992     0.00000     0.00000     0.00000
   -72.14892     0.00000     0.00000     0.00000
   -72.13792     0.00000     0.00000     0.00000
   -72.12692     0.00000     0.00000     0.00000
   -72.11592     0.00000     0.00000     0.00000
   -72.10492     0.00000     0.00000     0.00000
   -72.09392     0.00000     0.00000     0.00000
   -72.08292     0.00000     0.00000     0.00000
   -72.07192     0.00000     0.00000     0.00000
   -72.06092     0.00000     0.00000     0.00000
   -72.04892     0.00000     0.00000     0.00000
   -72.03792     0.00000     0.00000     0.00000
   -72.02692     0.00000     0.00000     0.00000
   -72.01592     0.00000     0.00000     0.00000
   -72.00492     0.00000     0.00000     0.00000
   -71.99392     0.00000     0.00000     0.00000
   -71.98292     0.00000     0.00000     0.00000
   -71.97192     0.00000     0.00000     0.00000
   -71.96092     0.00000     0.00000     0.00000
   -71.94992     0.00000     0.00000     0.00000
   -71.93892     0.00000     0.00000     0.00000
   -71.92792     0.00000     0.00000     0.00000
   -71.91692     0.00000     0.00000     0.00000
   -71.90592     0.00000     0.00000     0.00000
   -71.89492     0.00000     0.00000     0.00000
   -71.88392     0.00000     0.00000     0.00000
   -71.87292     0.00000     0.00000     0.00000
