     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -76.40582     0.00000     0.00000     0.00000     0.00000
   -76.39482     0.00000     0.00000     0.00000     0.00000
   -76.38482     0.00000     0.00000     0.00000     0.00000
   -76.37382     0.00000     0.00000     0.00000     0.00000
   -76.36282     0.00000     0.00000     0.00000     0.00000
   -76.35282     0.00000     0.00000     0.00000     0.00000
   -76.34182     0.00000     0.00000     0.00000     0.00000
   -76.33082     0.00000     0.00000     0.00000     0.00000
   -76.32082     0.00000     0.00000     0.00000     0.00000
   -76.30982     0.00000     0.00000     0.00000     0.00000
   -76.29882     0.00000     0.00000     0.00000     0.00000
   -76.28882     0.00000     0.00000     0.00000     0.00000
   -76.27782     0.00000     0.00000     0.00000     0.00000
   -76.26682     0.00000     0.00000     0.00000     0.00000
   -76.25682     0.00000     0.00000     0.00000     0.00000
   -76.24582     0.00000     0.00000     0.00000     0.00000
   -76.23482     0.00000     0.00000     0.00000     0.00000
   -76.22482     0.00000     0.00000     0.00000     0.00000
   -76.21382     0.00000     0.00000     0.00000     0.00000
   -76.20282     0.00000     0.00000     0.00000     0.00000
   -76.19282     0.00000     0.00000     0.00000     0.00000
   -76.18182     0.00000     0.00000     0.00000     0.00000
   -76.17082     0.00000     0.00000     0.00000     0.00000
   -76.16082     0.00000     0.00000     0.00000     0.00000
   -76.14982     0.00000     0.00000     0.00000     0.00000
   -76.13882     0.00000     0.00000     0.00000     0.00000
   -76.12882     0.00000     0.00000     0.00000     0.00000
   -76.11782     0.00000     0.00000     0.00000     0.00000
   -76.10782     0.00000     0.00000     0.00000     0.00000
   -76.09682     0.00000     0.00000     0.00000     0.00000
   -76.08582     0.00000     0.00000     0.00000     0.00000
   -76.07582     0.00000     0.00000     0.00000     0.00000
   -76.06482     0.00000     0.00000     0.00000     0.00000
   -76.05382     0.00000     0.00000     0.00000     0.00000
   -76.04382     0.00000     0.00000     0.00000     0.00000
   -76.03282     0.00000     0.00000     0.00000     0.00000
   -76.02182     0.00000     0.00000     0.00000     0.00000
   -76.01182     0.00000     0.00000     0.00000     0.00000
   -76.00082     0.00000     0.00000     0.00000     0.00000
   -75.98982     0.00000     0.00000     0.00000     0.00000
   -75.97982     0.00000     0.00000     0.00000     0.00000
   -75.96882     0.00000     0.00000     0.00000     0.00000
   -75.95782     0.00000     0.00000     0.00000     0.00000
   -75.94782     0.00000     0.00000     0.00000     0.00000
   -75.93682     0.00000     0.00000     0.00000     0.00000
   -75.92582     0.00000     0.00000     0.00000     0.00000
   -75.91582     0.00000     0.00000     0.00000     0.00000
   -75.90482     0.00000     0.00000     0.00000     0.00000
   -75.89382     0.00000     0.00000     0.00000     0.00000
   -75.88382     0.00000     0.00000     0.00000     0.00000
   -75.87282     0.00000     0.00000     0.00000     0.00000
   -75.86182     0.00000     0.00000     0.00000     0.00000
   -75.85182     0.00000     0.00000     0.00000     0.00000
   -75.84082     0.00000     0.00000     0.00000     0.00000
   -75.82982     0.00000     0.00000     0.00000     0.00000
   -75.81982     0.00000     0.00000     0.00000     0.00000
   -75.80882     0.00000     0.00000     0.00000     0.00000
   -75.79782     0.00000     0.00000     0.00000     0.00000
   -75.78782     0.00000     0.00000     0.00000     0.00000
