     #Energy       W_all      Mo_all      Os_all      Ti_all
   -75.39123     0.00000     0.00000     0.00000     0.00000
   -75.38023     0.00000     0.00000     0.00000     0.00000
   -75.36923     0.00000     0.00000     0.00000     0.00000
   -75.35823     0.00000     0.00000     0.00000     0.00000
   -75.34723     0.00000     0.00000     0.00000     0.00000
   -75.33723     0.00000     0.00000     0.00000     0.00000
   -75.32623     0.00000     0.00000     0.00000     0.00000
   -75.31523     0.00000     0.00000     0.00000     0.00000
   -75.30423     0.00000     0.00000     0.00000     0.00000
   -75.29323     0.00000     0.00000     0.00000     0.00000
   -75.28223     0.00000     0.00000     0.00000     0.00000
   -75.27123     0.00000     0.00000     0.00000     0.00000
   -75.26023     0.00000     0.00000     0.00000     0.00000
   -75.25023     0.00000     0.00000     0.00000     0.00000
   -75.23923     0.00000     0.00000     0.00000     0.00000
   -75.22823     0.00000     0.00000     0.00000     0.00000
   -75.21723     0.00000     0.00000     0.00000     0.00000
   -75.20623     0.00000     0.00000     0.00000     0.00000
   -75.19523     0.00000     0.00000     0.00000     0.00000
   -75.18423     0.00000     0.00000     0.00000     0.00000
   -75.17323     0.00000     0.00000     0.00000     0.00000
   -75.16323     0.00000     0.00000     0.00000     0.00000
   -75.15223     0.00000     0.00000     0.00000     0.00000
   -75.14123     0.00000     0.00000     0.00000     0.00000
   -75.13023     0.00000     0.00000     0.00000     0.00000
   -75.11923     0.00000     0.00000     0.00000     0.00000
   -75.10823     0.00000     0.00000     0.00000     0.00000
   -75.09723     0.00000     0.00000     0.00000     0.00000
   -75.08723     0.00000     0.00000     0.00000     0.00000
   -75.07623     0.00000     0.00000     0.00000     0.00000
   -75.06523     0.00000     0.00000     0.00000     0.00000
   -75.05423     0.00000     0.00000     0.00000     0.00000
   -75.04323     0.00000     0.00000     0.00000     0.00000
   -75.03223     0.00000     0.00000     0.00000     0.00000
   -75.02123     0.00000     0.00000     0.00000     0.00000
   -75.01023     0.00000     0.00000     0.00000     0.00000
   -75.00023     0.00000     0.00000     0.00000     0.00000
   -74.98923     0.00000     0.00000     0.00000     0.00000
   -74.97823     0.00000     0.00000     0.00000     0.00000
   -74.96723     0.00000     0.00000     0.00000     0.00000
   -74.95623     0.00000     0.00000     0.00000     0.00000
   -74.94523     0.00000     0.00000     0.00000     0.00000
   -74.93423     0.00000     0.00000     0.00000     0.00000
   -74.92423     0.00000     0.00000     0.00000     0.00000
   -74.91323     0.00000     0.00000     0.00000     0.00000
   -74.90223     0.00000     0.00000     0.00000     0.00000
   -74.89123     0.00000     0.00000     0.00000     0.00000
   -74.88023     0.00000     0.00000     0.00000     0.00000
   -74.86923     0.00000     0.00000     0.00000     0.00000
   -74.85823     0.00000     0.00000     0.00000     0.00000
   -74.84723     0.00000     0.00000     0.00000     0.00000
   -74.83723     0.00000     0.00000     0.00000     0.00000
   -74.82623     0.00000     0.00000     0.00000     0.00000
   -74.81523     0.00000     0.00000     0.00000     0.00000
   -74.80423     0.00000     0.00000     0.00000     0.00000
   -74.79323     0.00000     0.00000     0.00000     0.00000
   -74.78223     0.00000     0.00000     0.00000     0.00000
   -74.77123     0.00000     0.00000     0.00000     0.00000
   -74.76023     0.00000     0.00000     0.00000     0.00000
   -74.75023     0.00000     0.00000     0.00000     0.00000
   -74.73923     0.00000     0.00000     0.00000     0.00000
   -74.72823     0.00000     0.00000     0.00000     0.00000
   -74.71723     0.00000     0.00000     0.00000     0.00000
   -74.70623     0.00000     0.00000     0.00000     0.00000
   -74.69523     0.00000     0.00000     0.00000     0.00000
   -74.68423     0.00000     0.00000     0.00000     0.00000
   -74.67423     0.00000     0.00000     0.00000     0.00000
   -74.66323     0.00000     0.00000     0.00000     0.00000
   -74.65223     0.00000     0.00000     0.00000     0.00000
   -74.64123     0.00000     0.00000     0.00000     0.00000
   -74.63023     0.00000     0.00000     0.00000     0.00000
   -74.61923     0.00000     0.00000     0.00000     0.00000
   -74.60823     0.00000     0.00000     0.00000     0.00000
   -74.59723     0.00000     0.00000     0.00000     0.00000
   -74.58723     0.00000     0.00000     0.00000     0.00000
   -74.57623     0.00000     0.00000     0.00000     0.00000
   -74.56523     0.00000     0.00000     0.00000     0.00000
   -74.55423     0.00000     0.00000     0.00000     0.00000
   -74.54323     0.00000     0.00000     0.00000     0.00000
   -74.53223     0.00000     0.00000     0.00000     0.00000
   -74.52123     0.00000     0.00000     0.00000     0.00000
   -74.51023     0.00000     0.00000     0.00000     0.00000
   -74.50023     0.00000     0.00000     0.00000     0.00000
   -74.48923     0.00000     0.00000     0.00000     0.00000
   -74.47823     0.00000     0.00000     0.00000     0.00000
   -74.46723     0.00000     0.00000     0.00000     0.00000
   -74.45623     0.00000     0.00000     0.00000     0.00000
   -74.44523     0.00000     0.00000     0.00000     0.00000
   -74.43423     0.00000     0.00000     0.00000     0.00000
   -74.42423     0.00000     0.00000     0.00000     0.00000
   -74.41323     0.00000     0.00000     0.00000     0.00000
   -74.40223     0.00000     0.00000     0.00000     0.00000
   -74.39123     0.00000     0.00000     0.00000     0.00000
   -74.38023     0.00000     0.00000     0.00000     0.00000
   -74.36923     0.00000     0.00000     0.00000     0.00000
   -74.35823     0.00000     0.00000     0.00000     0.00000
   -74.34723     0.00000     0.00000     0.00000     0.00000
   -74.33723     0.00000     0.00000     0.00000     0.00000
   -74.32623     0.00000     0.00000     0.00000     0.00000
   -74.31523     0.00000     0.00000     0.00000     0.00000
   -74.30423     0.00000     0.00000     0.00000     0.00000
   -74.29323     0.00000     0.00000     0.00000     0.00000
   -74.28223     0.00000     0.00000     0.00000     0.00000
   -74.27123     0.00000     0.00000     0.00000     0.00000
   -74.26023     0.00000     0.00000     0.00000     0.00000
   -74.25023     0.00000     0.00000     0.00000     0.00000
   -74.23923     0.00000     0.00000     0.00000     0.00000
   -74.22823     0.00000     0.00000     0.00000     0.00000
   -74.21723     0.00000     0.00000     0.00000     0.00000
   -74.20623   367.07712     0.01287     0.01723     0.00007
   -74.19523     0.00000     0.00000     0.00000     0.00000
   -74.18423     0.00000     0.00000     0.00000     0.00000
   -74.17423     0.00000     0.00000     0.00000     0.00000
   -74.16323     0.00000     0.00000     0.00000     0.00000
   -74.15223   183.54299     0.00413     0.00864     0.00001
   -74.14123   183.58158     0.00595     0.00753     0.00052
   -74.13023     0.00000     0.00000     0.00000     0.00000
   -74.11923     0.00000     0.00000     0.00000     0.00000
   -74.10823     0.00000     0.00000     0.00000     0.00000
   -74.09723     0.00000     0.00000     0.00000     0.00000
   -74.08723     0.00000     0.00000     0.00000     0.00000
   -74.07623   183.54981     0.00373     0.00816     0.00062
   -74.06523     0.00000     0.00000     0.00000     0.00000
   -74.05423     0.00000     0.00000     0.00000     0.00000
   -74.04323     0.00000     0.00000     0.00000     0.00000
   -74.03223     0.00000     0.00000     0.00000     0.00000
   -74.02123   183.49473     0.00344     0.00116     0.00032
   -74.01023     0.00000     0.00000     0.00000     0.00000
   -74.00023     0.00000     0.00000     0.00000     0.00000
   -73.98923   183.55594     0.00711     0.00016     0.00006
   -73.97823   183.63878     0.00514     0.00344     0.00082
   -73.96723   183.57982     0.00519     0.00288     0.00097
   -73.95623   183.53836     0.00661     0.00018     0.00001
   -73.94523     0.00000     0.00000     0.00000     0.00000
   -73.93423     0.00000     0.00000     0.00000     0.00000
   -73.92423     0.00000     0.00000     0.00000     0.00000
   -73.91323     0.00000     0.00000     0.00000     0.00000
   -73.90223     0.00000     0.00000     0.00000     0.00000
   -73.89123     0.00000     0.00000     0.00000     0.00000
   -73.88023     0.00000     0.00000     0.00000     0.00000
   -73.86923   183.53348     0.00887     0.00013     0.00052
   -73.85823   183.55183     0.00758     0.00017     0.00050
   -73.84723     0.00000     0.00000     0.00000     0.00000
   -73.83723     0.00000     0.00000     0.00000     0.00000
   -73.82623     0.00000     0.00000     0.00000     0.00000
   -73.81523     0.00000     0.00000     0.00000     0.00000
   -73.80423     0.00000     0.00000     0.00000     0.00000
   -73.79323   183.58156     0.00053     0.00345     0.00089
   -73.78223     0.00000     0.00000     0.00000     0.00000
   -73.77123     0.00000     0.00000     0.00000     0.00000
   -73.76023     0.00000     0.00000     0.00000     0.00000
   -73.75023     0.00000     0.00000     0.00000     0.00000
   -73.73923     0.00000     0.00000     0.00000     0.00000
   -73.72823   183.64438     0.00551     0.00001     0.00108
   -73.71723     0.00000     0.00000     0.00000     0.00000
   -73.70623     0.00000     0.00000     0.00000     0.00000
   -73.69523     0.00000     0.00000     0.00000     0.00000
   -73.68423     0.00000     0.00000     0.00000     0.00000
   -73.67423     0.00000     0.00000     0.00000     0.00000
   -73.66323     0.00000     0.00000     0.00000     0.00000
   -73.65223     0.00000     0.00000     0.00000     0.00000
   -73.64123     0.00000     0.00000     0.00000     0.00000
   -73.63023     0.00000     0.00000     0.00000     0.00000
   -73.61923     0.00000     0.00000     0.00000     0.00000
   -73.60823     0.00000     0.00000     0.00000     0.00000
   -73.59723     0.00000     0.00000     0.00000     0.00000
   -73.58723     0.00000     0.00000     0.00000     0.00000
   -73.57623     0.00000     0.00000     0.00000     0.00000
   -73.56523     0.00000     0.00000     0.00000     0.00000
   -73.55423     0.00000     0.00000     0.00000     0.00000
   -73.54323     0.00000     0.00000     0.00000     0.00000
   -73.53223     0.00000     0.00000     0.00000     0.00000
   -73.52123     0.00000     0.00000     0.00000     0.00000
   -73.51123     0.00000     0.00000     0.00000     0.00000
   -73.50023     0.00000     0.00000     0.00000     0.00000
   -73.48923     0.00000     0.00000     0.00000     0.00000
   -73.47823     0.00000     0.00000     0.00000     0.00000
   -73.46723     0.00000     0.00000     0.00000     0.00000
   -73.45623     0.00000     0.00000     0.00000     0.00000
   -73.44523     0.00000     0.00000     0.00000     0.00000
   -73.43423     0.00000     0.00000     0.00000     0.00000
   -73.42423     0.00000     0.00000     0.00000     0.00000
   -73.41323     0.00000     0.00000     0.00000     0.00000
   -73.40223     0.00000     0.00000     0.00000     0.00000
   -73.39123     0.00000     0.00000     0.00000     0.00000
   -73.38023     0.00000     0.00000     0.00000     0.00000
   -73.36923     0.00000     0.00000     0.00000     0.00000
   -73.35823     0.00000     0.00000     0.00000     0.00000
   -73.34723     0.00000     0.00000     0.00000     0.00000
   -73.33723     0.00000     0.00000     0.00000     0.00000
   -73.32623     0.00000     0.00000     0.00000     0.00000
   -73.31523     0.00000     0.00000     0.00000     0.00000
   -73.30423     0.00000     0.00000     0.00000     0.00000
   -73.29323     0.00000     0.00000     0.00000     0.00000
   -73.28223     0.00000     0.00000     0.00000     0.00000
   -73.27123     0.00000     0.00000     0.00000     0.00000
   -73.26123     0.00000     0.00000     0.00000     0.00000
   -73.25023     0.00000     0.00000     0.00000     0.00000
   -73.23923     0.00000     0.00000     0.00000     0.00000
   -73.22823     0.00000     0.00000     0.00000     0.00000
   -73.21723     0.00000     0.00000     0.00000     0.00000
   -73.20623     0.00000     0.00000     0.00000     0.00000
   -73.19523     0.00000     0.00000     0.00000     0.00000
   -73.18423     0.00000     0.00000     0.00000     0.00000
   -73.17423     0.00000     0.00000     0.00000     0.00000
   -73.16323     0.00000     0.00000     0.00000     0.00000
   -73.15223     0.00000     0.00000     0.00000     0.00000
   -73.14123     0.00000     0.00000     0.00000     0.00000
   -73.13023     0.00000     0.00000     0.00000     0.00000
   -73.11923     0.00000     0.00000     0.00000     0.00000
   -73.10823     0.00000     0.00000     0.00000     0.00000
   -73.09723     0.00000     0.00000     0.00000     0.00000
   -73.08723     0.00000     0.00000     0.00000     0.00000
   -73.07623     0.00000     0.00000     0.00000     0.00000
   -73.06523     0.00000     0.00000     0.00000     0.00000
   -73.05423     0.00000     0.00000     0.00000     0.00000
   -73.04323     0.00000     0.00000     0.00000     0.00000
   -73.03223     0.00000     0.00000     0.00000     0.00000
   -73.02123     0.00000     0.00000     0.00000     0.00000
   -73.01123     0.00000     0.00000     0.00000     0.00000
   -73.00023     0.00000     0.00000     0.00000     0.00000
   -72.98923     0.00000     0.00000     0.00000     0.00000
   -72.97823     0.00000     0.00000     0.00000     0.00000
   -72.96723     0.00000     0.00000     0.00000     0.00000
   -72.95623     0.00000     0.00000     0.00000     0.00000
   -72.94523     0.00000     0.00000     0.00000     0.00000
   -72.93423     0.00000     0.00000     0.00000     0.00000
   -72.92423     0.00000     0.00000     0.00000     0.00000
   -72.91323     0.00000     0.00000     0.00000     0.00000
   -72.90223     0.00000     0.00000     0.00000     0.00000
   -72.89123     0.00000     0.00000     0.00000     0.00000
   -72.88023     0.00000     0.00000     0.00000     0.00000
   -72.86923     0.00000     0.00000     0.00000     0.00000
   -72.85823     0.00000     0.00000     0.00000     0.00000
   -72.84723     0.00000     0.00000     0.00000     0.00000
   -72.83723     0.00000     0.00000     0.00000     0.00000
   -72.82623     0.00000     0.00000     0.00000     0.00000
   -72.81523     0.00000     0.00000     0.00000     0.00000
   -72.80423     0.00000     0.00000     0.00000     0.00000
   -72.79323     0.00000     0.00000     0.00000     0.00000
   -72.78223     0.00000     0.00000     0.00000     0.00000
   -72.77123     0.00000     0.00000     0.00000     0.00000
   -72.76123     0.00000     0.00000     0.00000     0.00000
   -72.75023     0.00000     0.00000     0.00000     0.00000
   -72.73923     0.00000     0.00000     0.00000     0.00000
   -72.72823     0.00000     0.00000     0.00000     0.00000
   -72.71723     0.00000     0.00000     0.00000     0.00000
   -72.70623     0.00000     0.00000     0.00000     0.00000
   -72.69523     0.00000     0.00000     0.00000     0.00000
   -72.68423     0.00000     0.00000     0.00000     0.00000
   -72.67423     0.00000     0.00000     0.00000     0.00000
   -72.66323     0.00000     0.00000     0.00000     0.00000
   -72.65223     0.00000     0.00000     0.00000     0.00000
   -72.64123     0.00000     0.00000     0.00000     0.00000
   -72.63023     0.00000     0.00000     0.00000     0.00000
   -72.61923     0.00000     0.00000     0.00000     0.00000
   -72.60823     0.00000     0.00000     0.00000     0.00000
   -72.59723     0.00000     0.00000     0.00000     0.00000
