     #Energy       W_all      Mo_all      Rh_all
   -77.58209     0.00000     0.00000     0.00000
   -77.57109     0.00000     0.00000     0.00000
   -77.55909     0.00000     0.00000     0.00000
   -77.54809     0.00000     0.00000     0.00000
   -77.53709     0.00000     0.00000     0.00000
   -77.52609     0.00000     0.00000     0.00000
   -77.51509     0.00000     0.00000     0.00000
   -77.50409     0.00000     0.00000     0.00000
   -77.49309     0.00000     0.00000     0.00000
   -77.48209     0.00000     0.00000     0.00000
   -77.47009     0.00000     0.00000     0.00000
   -77.45909     0.00000     0.00000     0.00000
   -77.44809     0.00000     0.00000     0.00000
   -77.43709     0.00000     0.00000     0.00000
   -77.42609     0.00000     0.00000     0.00000
   -77.41509     0.00000     0.00000     0.00000
   -77.40409     0.00000     0.00000     0.00000
   -77.39309     0.00000     0.00000     0.00000
   -77.38109     0.00000     0.00000     0.00000
   -77.37009     0.00000     0.00000     0.00000
   -77.35909     0.00000     0.00000     0.00000
   -77.34809     0.00000     0.00000     0.00000
   -77.33709     0.00000     0.00000     0.00000
   -77.32609     0.00000     0.00000     0.00000
   -77.31509     0.00000     0.00000     0.00000
   -77.30409     0.00000     0.00000     0.00000
   -77.29209     0.00000     0.00000     0.00000
   -77.28109     0.00000     0.00000     0.00000
   -77.27009     0.00000     0.00000     0.00000
   -77.25909     0.00000     0.00000     0.00000
   -77.24809     0.00000     0.00000     0.00000
   -77.23709     0.00000     0.00000     0.00000
   -77.22609     0.00000     0.00000     0.00000
   -77.21509     0.00000     0.00000     0.00000
   -77.20309     0.00000     0.00000     0.00000
   -77.19209     0.00000     0.00000     0.00000
   -77.18109     0.00000     0.00000     0.00000
   -77.17009     0.00000     0.00000     0.00000
   -77.15909     0.00000     0.00000     0.00000
   -77.14809     0.00000     0.00000     0.00000
   -77.13709     0.00000     0.00000     0.00000
   -77.12609     0.00000     0.00000     0.00000
   -77.11509     0.00000     0.00000     0.00000
   -77.10309     0.00000     0.00000     0.00000
   -77.09209     0.00000     0.00000     0.00000
   -77.08109     0.00000     0.00000     0.00000
   -77.07009     0.00000     0.00000     0.00000
   -77.05909     0.00000     0.00000     0.00000
   -77.04809     0.00000     0.00000     0.00000
   -77.03709     0.00000     0.00000     0.00000
   -77.02609     0.00000     0.00000     0.00000
   -77.01409     0.00000     0.00000     0.00000
   -77.00309     0.00000     0.00000     0.00000
   -76.99209     0.00000     0.00000     0.00000
   -76.98109     0.00000     0.00000     0.00000
   -76.97009     0.00000     0.00000     0.00000
   -76.95909     0.00000     0.00000     0.00000
   -76.94809     0.00000     0.00000     0.00000
   -76.93709     0.00000     0.00000     0.00000
   -76.92509     0.00000     0.00000     0.00000
   -76.91409     0.00000     0.00000     0.00000
   -76.90309     0.00000     0.00000     0.00000
   -76.89209     0.00000     0.00000     0.00000
   -76.88109     0.00000     0.00000     0.00000
   -76.87009     0.00000     0.00000     0.00000
   -76.85909     0.00000     0.00000     0.00000
   -76.84809     0.00000     0.00000     0.00000
   -76.83609     0.00000     0.00000     0.00000
   -76.82509     0.00000     0.00000     0.00000
   -76.81409     0.00000     0.00000     0.00000
   -76.80309     0.00000     0.00000     0.00000
   -76.79209     0.00000     0.00000     0.00000
