     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -74.15850     0.00000     0.00000     0.00000     0.00000
   -74.14750     0.00000     0.00000     0.00000     0.00000
   -74.13650   179.39637     0.00717     0.00004     0.00597
   -74.12550     0.00000     0.00000     0.00000     0.00000
   -74.11450   179.44794     0.00681     0.00068     0.00345
   -74.10350   179.35514     0.00779     0.00005     0.00114
   -74.09250   179.32001     0.00848     0.00007     0.00148
   -74.08050  2000.10650     0.07102     0.00384     0.01228
   -74.06950   364.92447     0.01416     0.00051     0.00253
   -74.05850   358.86732     0.01379     0.00049     0.00329
   -74.04750   179.44144     0.00653     0.00009     0.00087
   -74.03650   179.49887     0.00631     0.00025     0.00130
   -74.02550   179.47705     0.00538     0.00021     0.00143
   -74.01450     0.00000     0.00000     0.00000     0.00000
   -74.00350   179.38258     0.00755     0.00008     0.00045
   -73.99150   179.38092     0.00739     0.00029     0.00076
   -73.98050     0.00000     0.00000     0.00000     0.00000
   -73.96950     0.00000     0.00000     0.00000     0.00000
   -73.95850   358.91301     0.01097     0.00049     0.00153
   -73.94750   179.57455     0.00452     0.00004     0.00101
   -73.93650     0.00000     0.00000     0.00000     0.00000
   -73.92550     0.00000     0.00000     0.00000     0.00000
   -73.91450     0.00000     0.00000     0.00000     0.00000
   -73.90350     0.00000     0.00000     0.00000     0.00000
   -73.89150     0.00000     0.00000     0.00000     0.00000
   -73.88050   179.47153     0.00040     0.00001     0.00010
   -73.86950     0.00000     0.00000     0.00000     0.00000
   -73.85850     0.00000     0.00000     0.00000     0.00000
   -73.84750   358.96227     0.01099     0.00211     0.00209
   -73.83650     0.00000     0.00000     0.00000     0.00000
   -73.82550     0.00000     0.00000     0.00000     0.00000
   -73.81450     0.00000     0.00000     0.00000     0.00000
   -73.80250     0.00000     0.00000     0.00000     0.00000
   -73.79150     0.00000     0.00000     0.00000     0.00000
   -73.78050     0.00000     0.00000     0.00000     0.00000
   -73.76950     0.00000     0.00000     0.00000     0.00000
   -73.75850     0.00000     0.00000     0.00000     0.00000
   -73.74750     0.00000     0.00000     0.00000     0.00000
   -73.73650     0.00000     0.00000     0.00000     0.00000
   -73.72550     0.00000     0.00000     0.00000     0.00000
   -73.71350     0.00000     0.00000     0.00000     0.00000
   -73.70250     0.00000     0.00000     0.00000     0.00000
   -73.69150     0.00000     0.00000     0.00000     0.00000
   -73.68050     0.00000     0.00000     0.00000     0.00000
   -73.66950     0.00000     0.00000     0.00000     0.00000
   -73.65850     0.00000     0.00000     0.00000     0.00000
   -73.64750     0.00000     0.00000     0.00000     0.00000
   -73.63650     0.00000     0.00000     0.00000     0.00000
   -73.62550     0.00000     0.00000     0.00000     0.00000
   -73.61350     0.00000     0.00000     0.00000     0.00000
   -73.60250     0.00000     0.00000     0.00000     0.00000
   -73.59150     0.00000     0.00000     0.00000     0.00000
   -73.58050     0.00000     0.00000     0.00000     0.00000
   -73.56950     0.00000     0.00000     0.00000     0.00000
   -73.55850     0.00000     0.00000     0.00000     0.00000
   -73.54750     0.00000     0.00000     0.00000     0.00000
   -73.53650     0.00000     0.00000     0.00000     0.00000
   -73.52450     0.00000     0.00000     0.00000     0.00000
   -73.51350     0.00000     0.00000     0.00000     0.00000
   -73.50250     0.00000     0.00000     0.00000     0.00000
   -73.49150     0.00000     0.00000     0.00000     0.00000
   -73.48050     0.00000     0.00000     0.00000     0.00000
   -73.46950     0.00000     0.00000     0.00000     0.00000
   -73.45850     0.00000     0.00000     0.00000     0.00000
