     #Energy       W_all      Mo_all      Ti_all
   -76.17562     0.00000     0.00000     0.00000
   -76.16462     0.00000     0.00000     0.00000
   -76.15362     0.00000     0.00000     0.00000
   -76.14362     0.00000     0.00000     0.00000
   -76.13262     0.00000     0.00000     0.00000
   -76.12262     0.00000     0.00000     0.00000
   -76.11162     0.00000     0.00000     0.00000
   -76.10162     0.00000     0.00000     0.00000
   -76.09062     0.00000     0.00000     0.00000
   -76.07962     0.00000     0.00000     0.00000
   -76.06962     0.00000     0.00000     0.00000
   -76.05862     0.00000     0.00000     0.00000
   -76.04862     0.00000     0.00000     0.00000
   -76.03762     0.00000     0.00000     0.00000
   -76.02662     0.00000     0.00000     0.00000
   -76.01662     0.00000     0.00000     0.00000
   -76.00562     0.00000     0.00000     0.00000
   -75.99562     0.00000     0.00000     0.00000
   -75.98462     0.00000     0.00000     0.00000
   -75.97462     0.00000     0.00000     0.00000
   -75.96362     0.00000     0.00000     0.00000
   -75.95262     0.00000     0.00000     0.00000
   -75.94262     0.00000     0.00000     0.00000
   -75.93162     0.00000     0.00000     0.00000
   -75.92162     0.00000     0.00000     0.00000
   -75.91062     0.00000     0.00000     0.00000
   -75.90062     0.00000     0.00000     0.00000
   -75.88962     0.00000     0.00000     0.00000
   -75.87862     0.00000     0.00000     0.00000
   -75.86862     0.00000     0.00000     0.00000
   -75.85762     0.00000     0.00000     0.00000
   -75.84762     0.00000     0.00000     0.00000
   -75.83662     0.00000     0.00000     0.00000
   -75.82662     0.00000     0.00000     0.00000
   -75.81562     0.00000     0.00000     0.00000
   -75.80462     0.00000     0.00000     0.00000
   -75.79462     0.00000     0.00000     0.00000
   -75.78362     0.00000     0.00000     0.00000
   -75.77362     0.00000     0.00000     0.00000
   -75.76262     0.00000     0.00000     0.00000
   -75.75262     0.00000     0.00000     0.00000
   -75.74162     0.00000     0.00000     0.00000
   -75.73062     0.00000     0.00000     0.00000
   -75.72062     0.00000     0.00000     0.00000
   -75.70962     0.00000     0.00000     0.00000
   -75.69962     0.00000     0.00000     0.00000
   -75.68862     0.00000     0.00000     0.00000
   -75.67862     0.00000     0.00000     0.00000
   -75.66762     0.00000     0.00000     0.00000
   -75.65662     0.00000     0.00000     0.00000
   -75.64662     0.00000     0.00000     0.00000
   -75.63562     0.00000     0.00000     0.00000
   -75.62562     0.00000     0.00000     0.00000
   -75.61462     0.00000     0.00000     0.00000
   -75.60462     0.00000     0.00000     0.00000
   -75.59362     0.00000     0.00000     0.00000
   -75.58262     0.00000     0.00000     0.00000
   -75.57262     0.00000     0.00000     0.00000
   -75.56162     0.00000     0.00000     0.00000
   -75.55162     0.00000     0.00000     0.00000
   -75.54062     0.00000     0.00000     0.00000
   -75.53062     0.00000     0.00000     0.00000
   -75.51962     0.00000     0.00000     0.00000
   -75.50862     0.00000     0.00000     0.00000
   -75.49862     0.00000     0.00000     0.00000
   -75.48762     0.00000     0.00000     0.00000
   -75.47762     0.00000     0.00000     0.00000
   -75.46662     0.00000     0.00000     0.00000
   -75.45662     0.00000     0.00000     0.00000
   -75.44562     0.00000     0.00000     0.00000
   -75.43462     0.00000     0.00000     0.00000
   -75.42462     0.00000     0.00000     0.00000
   -75.41362     0.00000     0.00000     0.00000
   -75.40362     0.00000     0.00000     0.00000
   -75.39262     0.00000     0.00000     0.00000
   -75.38262     0.00000     0.00000     0.00000
   -75.37162     0.00000     0.00000     0.00000
   -75.36062     0.00000     0.00000     0.00000
   -75.35062     0.00000     0.00000     0.00000
   -75.33962     0.00000     0.00000     0.00000
   -75.32962     0.00000     0.00000     0.00000
   -75.31862     0.00000     0.00000     0.00000
   -75.30862     0.00000     0.00000     0.00000
   -75.29762     0.00000     0.00000     0.00000
   -75.28662     0.00000     0.00000     0.00000
   -75.27662     0.00000     0.00000     0.00000
   -75.26562     0.00000     0.00000     0.00000
   -75.25562     0.00000     0.00000     0.00000
   -75.24462     0.00000     0.00000     0.00000
   -75.23362     0.00000     0.00000     0.00000
   -75.22362     0.00000     0.00000     0.00000
   -75.21262     0.00000     0.00000     0.00000
   -75.20262     0.00000     0.00000     0.00000
   -75.19162     0.00000     0.00000     0.00000
   -75.18162     0.00000     0.00000     0.00000
   -75.17062     0.00000     0.00000     0.00000
   -75.15962     0.00000     0.00000     0.00000
   -75.14962     0.00000     0.00000     0.00000
   -75.13862     0.00000     0.00000     0.00000
   -75.12862     0.00000     0.00000     0.00000
   -75.11762     0.00000     0.00000     0.00000
   -75.10762     0.00000     0.00000     0.00000
   -75.09662     0.00000     0.00000     0.00000
   -75.08562     0.00000     0.00000     0.00000
   -75.07562     0.00000     0.00000     0.00000
   -75.06462     0.00000     0.00000     0.00000
   -75.05462     0.00000     0.00000     0.00000
   -75.04362     0.00000     0.00000     0.00000
   -75.03362     0.00000     0.00000     0.00000
   -75.02262     0.00000     0.00000     0.00000
   -75.01162     0.00000     0.00000     0.00000
   -75.00162     0.00000     0.00000     0.00000
   -74.99062     0.00000     0.00000     0.00000
   -74.98062     0.00000     0.00000     0.00000
   -74.96962     0.00000     0.00000     0.00000
   -74.95962     0.00000     0.00000     0.00000
   -74.94862     0.00000     0.00000     0.00000
   -74.93762     0.00000     0.00000     0.00000
   -74.92762     0.00000     0.00000     0.00000
   -74.91662     0.00000     0.00000     0.00000
   -74.90662     0.00000     0.00000     0.00000
   -74.89562     0.00000     0.00000     0.00000
   -74.88562     0.00000     0.00000     0.00000
   -74.87462     0.00000     0.00000     0.00000
   -74.86362     0.00000     0.00000     0.00000
   -74.85362     0.00000     0.00000     0.00000
   -74.84262     0.00000     0.00000     0.00000
   -74.83262     0.00000     0.00000     0.00000
   -74.82162     0.00000     0.00000     0.00000
   -74.81162     0.00000     0.00000     0.00000
   -74.80062     0.00000     0.00000     0.00000
   -74.78962     0.00000     0.00000     0.00000
