     #Energy       W_all      Mo_all      Ti_all      Re_all
   -81.88272     0.00000     0.00000     0.00000     0.00000
   -81.87172     0.00000     0.00000     0.00000     0.00000
   -81.85972     0.00000     0.00000     0.00000     0.00000
   -81.84872     0.00000     0.00000     0.00000     0.00000
   -81.83672     0.00000     0.00000     0.00000     0.00000
   -81.82572     0.00000     0.00000     0.00000     0.00000
   -81.81372     0.00000     0.00000     0.00000     0.00000
   -81.80272     0.00000     0.00000     0.00000     0.00000
   -81.79072     0.00000     0.00000     0.00000     0.00000
   -81.77972     0.00000     0.00000     0.00000     0.00000
   -81.76872     0.00000     0.00000     0.00000     0.00000
   -81.75672     0.00000     0.00000     0.00000     0.00000
   -81.74572     0.00000     0.00000     0.00000     0.00000
   -81.73372     0.00000     0.00000     0.00000     0.00000
   -81.72272     0.00000     0.00000     0.00000     0.00000
   -81.71072     0.00000     0.00000     0.00000     0.00000
   -81.69972     0.00000     0.00000     0.00000     0.00000
   -81.68872     0.00000     0.00000     0.00000     0.00000
   -81.67672     0.00000     0.00000     0.00000     0.00000
   -81.66572     0.00000     0.00000     0.00000     0.00000
   -81.65372     0.00000     0.00000     0.00000     0.00000
   -81.64272     0.00000     0.00000     0.00000     0.00000
   -81.63072     0.00000     0.00000     0.00000     0.00000
   -81.61972     0.00000     0.00000     0.00000     0.00000
   -81.60772     0.00000     0.00000     0.00000     0.00000
   -81.59672     0.00000     0.00000     0.00000     0.00000
   -81.58572     0.00000     0.00000     0.00000     0.00000
   -81.57372     0.00000     0.00000     0.00000     0.00000
   -81.56272     0.00000     0.00000     0.00000     0.00000
   -81.55072     0.00000     0.00000     0.00000     0.00000
   -81.53972     0.00000     0.00000     0.00000     0.00000
   -81.52772     0.00000     0.00000     0.00000     0.00000
   -81.51672     0.00000     0.00000     0.00000     0.00000
   -81.50572     0.00000     0.00000     0.00000     0.00000
   -81.49372     0.00000     0.00000     0.00000     0.00000
   -81.48272     0.00000     0.00000     0.00000     0.00000
   -81.47072     0.00000     0.00000     0.00000     0.00000
   -81.45972     0.00000     0.00000     0.00000     0.00000
   -81.44772     0.00000     0.00000     0.00000     0.00000
   -81.43672     0.00000     0.00000     0.00000     0.00000
   -81.42472     0.00000     0.00000     0.00000     0.00000
   -81.41372     0.00000     0.00000     0.00000     0.00000
   -81.40272     0.00000     0.00000     0.00000     0.00000
   -81.39072     0.00000     0.00000     0.00000     0.00000
   -81.37972     0.00000     0.00000     0.00000     0.00000
   -81.36772     0.00000     0.00000     0.00000     0.00000
   -81.35672     0.00000     0.00000     0.00000     0.00000
   -81.34472     0.00000     0.00000     0.00000     0.00000
   -81.33372     0.00000     0.00000     0.00000     0.00000
   -81.32272     0.00000     0.00000     0.00000     0.00000
   -81.31072     0.00000     0.00000     0.00000     0.00000
   -81.29972     0.00000     0.00000     0.00000     0.00000
   -81.28772     0.00000     0.00000     0.00000     0.00000
   -81.27672     0.00000     0.00000     0.00000     0.00000
   -81.26472     0.00000     0.00000     0.00000     0.00000
   -81.25372     0.00000     0.00000     0.00000     0.00000
   -81.24172     0.00000     0.00000     0.00000     0.00000
   -81.23072     0.00000     0.00000     0.00000     0.00000
   -81.21972     0.00000     0.00000     0.00000     0.00000
   -81.20772     0.00000     0.00000     0.00000     0.00000
   -81.19672     0.00000     0.00000     0.00000     0.00000
   -81.18472     0.00000     0.00000     0.00000     0.00000
   -81.17372     0.00000     0.00000     0.00000     0.00000
   -81.16172     0.00000     0.00000     0.00000     0.00000
   -81.15072     0.00000     0.00000     0.00000     0.00000
   -81.13972     0.00000     0.00000     0.00000     0.00000
   -81.12772     0.00000     0.00000     0.00000     0.00000
   -81.11672     0.00000     0.00000     0.00000     0.00000
   -81.10472     0.00000     0.00000     0.00000     0.00000
   -81.09372     0.00000     0.00000     0.00000     0.00000
   -81.08172     0.00000     0.00000     0.00000     0.00000
   -81.07072     0.00000     0.00000     0.00000     0.00000
   -81.05972     0.00000     0.00000     0.00000     0.00000
   -81.04772     0.00000     0.00000     0.00000     0.00000
   -81.03672     0.00000     0.00000     0.00000     0.00000
   -81.02472     0.00000     0.00000     0.00000     0.00000
   -81.01372     0.00000     0.00000     0.00000     0.00000
   -81.00172     0.00000     0.00000     0.00000     0.00000
   -80.99072     0.00000     0.00000     0.00000     0.00000
   -80.97872     0.00000     0.00000     0.00000     0.00000
   -80.96772     0.00000     0.00000     0.00000     0.00000
   -80.95672     0.00000     0.00000     0.00000     0.00000
   -80.94472     0.00000     0.00000     0.00000     0.00000
   -80.93372     0.00000     0.00000     0.00000     0.00000
   -80.92172     0.00000     0.00000     0.00000     0.00000
   -80.91072     0.00000     0.00000     0.00000     0.00000
   -80.89872     0.00000     0.00000     0.00000     0.00000
   -80.88772     0.00000     0.00000     0.00000     0.00000
   -80.87672     0.00000     0.00000     0.00000     0.00000
   -80.86472     0.00000     0.00000     0.00000     0.00000
   -80.85372     0.00000     0.00000     0.00000     0.00000
   -80.84172     0.00000     0.00000     0.00000     0.00000
   -80.83072     0.00000     0.00000     0.00000     0.00000
   -80.81872     0.00000     0.00000     0.00000     0.00000
   -80.80772     0.00000     0.00000     0.00000     0.00000
   -80.79572     0.00000     0.00000     0.00000     0.00000
   -80.78472     0.00000     0.00000     0.00000     0.00000
   -80.77372     0.00000     0.00000     0.00000     0.00000
   -80.76172     0.00000     0.00000     0.00000     0.00000
   -80.75072     0.00000     0.00000     0.00000     0.00000
   -80.73872     0.00000     0.00000     0.00000     0.00000
   -80.72772     0.00000     0.00000     0.00000     0.00000
   -80.71572     0.00000     0.00000     0.00000     0.00000
   -80.70472     0.00000     0.00000     0.00000     0.00000
   -80.69372     0.00000     0.00000     0.00000     0.00000
   -80.68172     0.00000     0.00000     0.00000     0.00000
   -80.67072     0.00000     0.00000     0.00000     0.00000
   -80.65872     0.00000     0.00000     0.00000     0.00000
   -80.64772     0.00000     0.00000     0.00000     0.00000
   -80.63572     0.00000     0.00000     0.00000     0.00000
   -80.62472     0.00000     0.00000     0.00000     0.00000
