     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -77.49073     0.00000     0.00000     0.00000     0.00000
   -77.47973     0.00000     0.00000     0.00000     0.00000
   -77.46973     0.00000     0.00000     0.00000     0.00000
   -77.45873     0.00000     0.00000     0.00000     0.00000
   -77.44773     0.00000     0.00000     0.00000     0.00000
   -77.43673     0.00000     0.00000     0.00000     0.00000
   -77.42573     0.00000     0.00000     0.00000     0.00000
   -77.41473     0.00000     0.00000     0.00000     0.00000
   -77.40473     0.00000     0.00000     0.00000     0.00000
   -77.39373     0.00000     0.00000     0.00000     0.00000
   -77.38273     0.00000     0.00000     0.00000     0.00000
   -77.37173     0.00000     0.00000     0.00000     0.00000
   -77.36073     0.00000     0.00000     0.00000     0.00000
   -77.34973     0.00000     0.00000     0.00000     0.00000
   -77.33973     0.00000     0.00000     0.00000     0.00000
   -77.32873     0.00000     0.00000     0.00000     0.00000
   -77.31773     0.00000     0.00000     0.00000     0.00000
   -77.30673     0.00000     0.00000     0.00000     0.00000
   -77.29573     0.00000     0.00000     0.00000     0.00000
   -77.28573     0.00000     0.00000     0.00000     0.00000
   -77.27473     0.00000     0.00000     0.00000     0.00000
   -77.26373     0.00000     0.00000     0.00000     0.00000
   -77.25273     0.00000     0.00000     0.00000     0.00000
   -77.24173     0.00000     0.00000     0.00000     0.00000
   -77.23073     0.00000     0.00000     0.00000     0.00000
   -77.22073     0.00000     0.00000     0.00000     0.00000
   -77.20973     0.00000     0.00000     0.00000     0.00000
   -77.19873     0.00000     0.00000     0.00000     0.00000
   -77.18773     0.00000     0.00000     0.00000     0.00000
   -77.17673     0.00000     0.00000     0.00000     0.00000
   -77.16573     0.00000     0.00000     0.00000     0.00000
   -77.15573     0.00000     0.00000     0.00000     0.00000
   -77.14473     0.00000     0.00000     0.00000     0.00000
   -77.13373     0.00000     0.00000     0.00000     0.00000
   -77.12273     0.00000     0.00000     0.00000     0.00000
   -77.11173     0.00000     0.00000     0.00000     0.00000
   -77.10173     0.00000     0.00000     0.00000     0.00000
   -77.09073     0.00000     0.00000     0.00000     0.00000
   -77.07973     0.00000     0.00000     0.00000     0.00000
   -77.06873     0.00000     0.00000     0.00000     0.00000
   -77.05773     0.00000     0.00000     0.00000     0.00000
   -77.04673     0.00000     0.00000     0.00000     0.00000
   -77.03673     0.00000     0.00000     0.00000     0.00000
