     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -77.13978     0.00000     0.00000     0.00000     0.00000
   -77.12978     0.00000     0.00000     0.00000     0.00000
   -77.11878     0.00000     0.00000     0.00000     0.00000
   -77.10778     0.00000     0.00000     0.00000     0.00000
   -77.09678     0.00000     0.00000     0.00000     0.00000
   -77.08678     0.00000     0.00000     0.00000     0.00000
   -77.07578     0.00000     0.00000     0.00000     0.00000
   -77.06478     0.00000     0.00000     0.00000     0.00000
   -77.05378     0.00000     0.00000     0.00000     0.00000
   -77.04378     0.00000     0.00000     0.00000     0.00000
   -77.03278     0.00000     0.00000     0.00000     0.00000
   -77.02178     0.00000     0.00000     0.00000     0.00000
   -77.01078     0.00000     0.00000     0.00000     0.00000
   -77.00078     0.00000     0.00000     0.00000     0.00000
   -76.98978     0.00000     0.00000     0.00000     0.00000
   -76.97878     0.00000     0.00000     0.00000     0.00000
   -76.96778     0.00000     0.00000     0.00000     0.00000
   -76.95778     0.00000     0.00000     0.00000     0.00000
   -76.94678     0.00000     0.00000     0.00000     0.00000
   -76.93578     0.00000     0.00000     0.00000     0.00000
   -76.92478     0.00000     0.00000     0.00000     0.00000
   -76.91478     0.00000     0.00000     0.00000     0.00000
   -76.90378     0.00000     0.00000     0.00000     0.00000
   -76.89278     0.00000     0.00000     0.00000     0.00000
   -76.88178     0.00000     0.00000     0.00000     0.00000
   -76.87178     0.00000     0.00000     0.00000     0.00000
   -76.86078     0.00000     0.00000     0.00000     0.00000
   -76.84978     0.00000     0.00000     0.00000     0.00000
   -76.83878     0.00000     0.00000     0.00000     0.00000
   -76.82878     0.00000     0.00000     0.00000     0.00000
   -76.81778     0.00000     0.00000     0.00000     0.00000
   -76.80678     0.00000     0.00000     0.00000     0.00000
   -76.79578     0.00000     0.00000     0.00000     0.00000
   -76.78578     0.00000     0.00000     0.00000     0.00000
   -76.77478     0.00000     0.00000     0.00000     0.00000
   -76.76378     0.00000     0.00000     0.00000     0.00000
   -76.75278     0.00000     0.00000     0.00000     0.00000
   -76.74278     0.00000     0.00000     0.00000     0.00000
   -76.73178     0.00000     0.00000     0.00000     0.00000
   -76.72078     0.00000     0.00000     0.00000     0.00000
   -76.70978     0.00000     0.00000     0.00000     0.00000
   -76.69978     0.00000     0.00000     0.00000     0.00000
   -76.68878     0.00000     0.00000     0.00000     0.00000
   -76.67778     0.00000     0.00000     0.00000     0.00000
   -76.66678     0.00000     0.00000     0.00000     0.00000
   -76.65678     0.00000     0.00000     0.00000     0.00000
   -76.64578     0.00000     0.00000     0.00000     0.00000
   -76.63478     0.00000     0.00000     0.00000     0.00000
   -76.62378     0.00000     0.00000     0.00000     0.00000
   -76.61378     0.00000     0.00000     0.00000     0.00000
   -76.60278     0.00000     0.00000     0.00000     0.00000
   -76.59178     0.00000     0.00000     0.00000     0.00000
   -76.58078     0.00000     0.00000     0.00000     0.00000
   -76.57078     0.00000     0.00000     0.00000     0.00000
   -76.55978     0.00000     0.00000     0.00000     0.00000
   -76.54878     0.00000     0.00000     0.00000     0.00000
   -76.53778     0.00000     0.00000     0.00000     0.00000
   -76.52778     0.00000     0.00000     0.00000     0.00000
   -76.51678     0.00000     0.00000     0.00000     0.00000
   -76.50578     0.00000     0.00000     0.00000     0.00000
   -76.49478     0.00000     0.00000     0.00000     0.00000
   -76.48478     0.00000     0.00000     0.00000     0.00000
   -76.47378     0.00000     0.00000     0.00000     0.00000
   -76.46278     0.00000     0.00000     0.00000     0.00000
   -76.45178     0.00000     0.00000     0.00000     0.00000
   -76.44178     0.00000     0.00000     0.00000     0.00000
   -76.43078     0.00000     0.00000     0.00000     0.00000
   -76.41978     0.00000     0.00000     0.00000     0.00000
   -76.40878     0.00000     0.00000     0.00000     0.00000
   -76.39878     0.00000     0.00000     0.00000     0.00000
   -76.38778     0.00000     0.00000     0.00000     0.00000
   -76.37678     0.00000     0.00000     0.00000     0.00000
   -76.36578     0.00000     0.00000     0.00000     0.00000
   -76.35578     0.00000     0.00000     0.00000     0.00000
   -76.34478     0.00000     0.00000     0.00000     0.00000
   -76.33378     0.00000     0.00000     0.00000     0.00000
   -76.32278     0.00000     0.00000     0.00000     0.00000
   -76.31278     0.00000     0.00000     0.00000     0.00000
   -76.30178     0.00000     0.00000     0.00000     0.00000
   -76.29078     0.00000     0.00000     0.00000     0.00000
   -76.27978     0.00000     0.00000     0.00000     0.00000
   -76.26978     0.00000     0.00000     0.00000     0.00000
   -76.25878     0.00000     0.00000     0.00000     0.00000
   -76.24778     0.00000     0.00000     0.00000     0.00000
   -76.23678     0.00000     0.00000     0.00000     0.00000
   -76.22678     0.00000     0.00000     0.00000     0.00000
