     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -76.08302     0.00000     0.00000     0.00000     0.00000
   -76.07302     0.00000     0.00000     0.00000     0.00000
   -76.06202     0.00000     0.00000     0.00000     0.00000
   -76.05202     0.00000     0.00000     0.00000     0.00000
   -76.04102     0.00000     0.00000     0.00000     0.00000
   -76.03002     0.00000     0.00000     0.00000     0.00000
   -76.02002     0.00000     0.00000     0.00000     0.00000
   -76.00902     0.00000     0.00000     0.00000     0.00000
   -75.99902     0.00000     0.00000     0.00000     0.00000
   -75.98802     0.00000     0.00000     0.00000     0.00000
   -75.97802     0.00000     0.00000     0.00000     0.00000
   -75.96702     0.00000     0.00000     0.00000     0.00000
   -75.95602     0.00000     0.00000     0.00000     0.00000
   -75.94602     0.00000     0.00000     0.00000     0.00000
   -75.93502     0.00000     0.00000     0.00000     0.00000
   -75.92502     0.00000     0.00000     0.00000     0.00000
   -75.91402     0.00000     0.00000     0.00000     0.00000
   -75.90302     0.00000     0.00000     0.00000     0.00000
   -75.89302     0.00000     0.00000     0.00000     0.00000
   -75.88202     0.00000     0.00000     0.00000     0.00000
   -75.87202     0.00000     0.00000     0.00000     0.00000
   -75.86102     0.00000     0.00000     0.00000     0.00000
   -75.85002     0.00000     0.00000     0.00000     0.00000
   -75.84002     0.00000     0.00000     0.00000     0.00000
   -75.82902     0.00000     0.00000     0.00000     0.00000
   -75.81902     0.00000     0.00000     0.00000     0.00000
   -75.80802     0.00000     0.00000     0.00000     0.00000
   -75.79702     0.00000     0.00000     0.00000     0.00000
   -75.78702     0.00000     0.00000     0.00000     0.00000
   -75.77602     0.00000     0.00000     0.00000     0.00000
   -75.76602     0.00000     0.00000     0.00000     0.00000
   -75.75502     0.00000     0.00000     0.00000     0.00000
   -75.74402     0.00000     0.00000     0.00000     0.00000
   -75.73402     0.00000     0.00000     0.00000     0.00000
   -75.72302     0.00000     0.00000     0.00000     0.00000
   -75.71302     0.00000     0.00000     0.00000     0.00000
   -75.70202     0.00000     0.00000     0.00000     0.00000
   -75.69102     0.00000     0.00000     0.00000     0.00000
   -75.68102     0.00000     0.00000     0.00000     0.00000
   -75.67002     0.00000     0.00000     0.00000     0.00000
   -75.66002     0.00000     0.00000     0.00000     0.00000
   -75.64902     0.00000     0.00000     0.00000     0.00000
   -75.63802     0.00000     0.00000     0.00000     0.00000
   -75.62802     0.00000     0.00000     0.00000     0.00000
   -75.61702     0.00000     0.00000     0.00000     0.00000
   -75.60702     0.00000     0.00000     0.00000     0.00000
   -75.59602     0.00000     0.00000     0.00000     0.00000
   -75.58602     0.00000     0.00000     0.00000     0.00000
   -75.57502     0.00000     0.00000     0.00000     0.00000
   -75.56402     0.00000     0.00000     0.00000     0.00000
   -75.55402     0.00000     0.00000     0.00000     0.00000
   -75.54302     0.00000     0.00000     0.00000     0.00000
   -75.53302     0.00000     0.00000     0.00000     0.00000
   -75.52202     0.00000     0.00000     0.00000     0.00000
   -75.51102     0.00000     0.00000     0.00000     0.00000
   -75.50102     0.00000     0.00000     0.00000     0.00000
   -75.49002     0.00000     0.00000     0.00000     0.00000
   -75.48002     0.00000     0.00000     0.00000     0.00000
   -75.46902     0.00000     0.00000     0.00000     0.00000
   -75.45802     0.00000     0.00000     0.00000     0.00000
   -75.44802     0.00000     0.00000     0.00000     0.00000
