     #Energy       W_all      Mo_all      Pt_all      Hf_all
   -76.08472     0.00000     0.00000     0.00000     0.00000
   -76.07372     0.00000     0.00000     0.00000     0.00000
   -76.06272     0.00000     0.00000     0.00000     0.00000
   -76.05172     0.00000     0.00000     0.00000     0.00000
   -76.04072     0.00000     0.00000     0.00000     0.00000
   -76.02972     0.00000     0.00000     0.00000     0.00000
   -76.01872     0.00000     0.00000     0.00000     0.00000
   -76.00772     0.00000     0.00000     0.00000     0.00000
   -75.99672     0.00000     0.00000     0.00000     0.00000
   -75.98572     0.00000     0.00000     0.00000     0.00000
   -75.97472     0.00000     0.00000     0.00000     0.00000
   -75.96372     0.00000     0.00000     0.00000     0.00000
   -75.95272     0.00000     0.00000     0.00000     0.00000
   -75.94172     0.00000     0.00000     0.00000     0.00000
   -75.93072     0.00000     0.00000     0.00000     0.00000
   -75.91972     0.00000     0.00000     0.00000     0.00000
   -75.90872     0.00000     0.00000     0.00000     0.00000
   -75.89872     0.00000     0.00000     0.00000     0.00000
   -75.88772     0.00000     0.00000     0.00000     0.00000
   -75.87672     0.00000     0.00000     0.00000     0.00000
   -75.86572     0.00000     0.00000     0.00000     0.00000
   -75.85472     0.00000     0.00000     0.00000     0.00000
   -75.84372     0.00000     0.00000     0.00000     0.00000
   -75.83272     0.00000     0.00000     0.00000     0.00000
   -75.82172     0.00000     0.00000     0.00000     0.00000
   -75.81072     0.00000     0.00000     0.00000     0.00000
   -75.79972     0.00000     0.00000     0.00000     0.00000
   -75.78872     0.00000     0.00000     0.00000     0.00000
   -75.77772     0.00000     0.00000     0.00000     0.00000
   -75.76672     0.00000     0.00000     0.00000     0.00000
   -75.75572     0.00000     0.00000     0.00000     0.00000
   -75.74472     0.00000     0.00000     0.00000     0.00000
   -75.73372     0.00000     0.00000     0.00000     0.00000
   -75.72272     0.00000     0.00000     0.00000     0.00000
   -75.71172     0.00000     0.00000     0.00000     0.00000
   -75.70072     0.00000     0.00000     0.00000     0.00000
   -75.68972     0.00000     0.00000     0.00000     0.00000
   -75.67872     0.00000     0.00000     0.00000     0.00000
   -75.66772     0.00000     0.00000     0.00000     0.00000
   -75.65672     0.00000     0.00000     0.00000     0.00000
   -75.64572     0.00000     0.00000     0.00000     0.00000
   -75.63472     0.00000     0.00000     0.00000     0.00000
   -75.62372     0.00000     0.00000     0.00000     0.00000
   -75.61272     0.00000     0.00000     0.00000     0.00000
   -75.60172     0.00000     0.00000     0.00000     0.00000
   -75.59072     0.00000     0.00000     0.00000     0.00000
   -75.57972     0.00000     0.00000     0.00000     0.00000
   -75.56872     0.00000     0.00000     0.00000     0.00000
   -75.55772     0.00000     0.00000     0.00000     0.00000
   -75.54672     0.00000     0.00000     0.00000     0.00000
   -75.53572     0.00000     0.00000     0.00000     0.00000
   -75.52472     0.00000     0.00000     0.00000     0.00000
   -75.51372     0.00000     0.00000     0.00000     0.00000
   -75.50272     0.00000     0.00000     0.00000     0.00000
   -75.49172     0.00000     0.00000     0.00000     0.00000
   -75.48072     0.00000     0.00000     0.00000     0.00000
   -75.46972     0.00000     0.00000     0.00000     0.00000
   -75.45872     0.00000     0.00000     0.00000     0.00000
   -75.44772     0.00000     0.00000     0.00000     0.00000
   -75.43672     0.00000     0.00000     0.00000     0.00000
   -75.42572     0.00000     0.00000     0.00000     0.00000
   -75.41472     0.00000     0.00000     0.00000     0.00000
   -75.40372     0.00000     0.00000     0.00000     0.00000
   -75.39272     0.00000     0.00000     0.00000     0.00000
   -75.38172     0.00000     0.00000     0.00000     0.00000
