     #Energy       W_all      Mo_all      Pt_all
   -74.03816   373.44532     0.01375     0.00425
   -74.02716     0.00000     0.00000     0.00000
   -74.01716  1178.29281     0.03584     0.01696
   -74.00616   137.16422     0.00412     0.00227
   -73.99516   186.73987     0.00489     0.00278
   -73.98516   186.73426     0.00825     0.00246
   -73.97416   560.22150     0.01886     0.00472
   -73.96316   186.73216     0.00581     0.00080
   -73.95216     0.00000     0.00000     0.00000
   -73.94216   186.80422     0.00544     0.00336
   -73.93116     0.00000     0.00000     0.00000
   -73.92016     0.00000     0.00000     0.00000
   -73.91016     0.00000     0.00000     0.00000
   -73.89916     0.00000     0.00000     0.00000
   -73.88816     0.00000     0.00000     0.00000
   -73.87816     0.00000     0.00000     0.00000
   -73.86716     0.00000     0.00000     0.00000
   -73.85616     0.00000     0.00000     0.00000
   -73.84616     0.00000     0.00000     0.00000
   -73.83516     0.00000     0.00000     0.00000
   -73.82416     0.00000     0.00000     0.00000
   -73.81416     0.00000     0.00000     0.00000
   -73.80316     0.00000     0.00000     0.00000
   -73.79216     0.00000     0.00000     0.00000
   -73.78116     0.00000     0.00000     0.00000
   -73.77116     0.00000     0.00000     0.00000
   -73.76016     0.00000     0.00000     0.00000
   -73.74916     0.00000     0.00000     0.00000
   -73.73916     0.00000     0.00000     0.00000
   -73.72816     0.00000     0.00000     0.00000
   -73.71716     0.00000     0.00000     0.00000
   -73.70716     0.00000     0.00000     0.00000
   -73.69616     0.00000     0.00000     0.00000
   -73.68516     0.00000     0.00000     0.00000
   -73.67516     0.00000     0.00000     0.00000
   -73.66416     0.00000     0.00000     0.00000
   -73.65316     0.00000     0.00000     0.00000
   -73.64316     0.00000     0.00000     0.00000
   -73.63216     0.00000     0.00000     0.00000
   -73.62116     0.00000     0.00000     0.00000
   -73.61016     0.00000     0.00000     0.00000
   -73.60016     0.00000     0.00000     0.00000
   -73.58916     0.00000     0.00000     0.00000
   -73.57816     0.00000     0.00000     0.00000
   -73.56816     0.00000     0.00000     0.00000
   -73.55716     0.00000     0.00000     0.00000
   -73.54616     0.00000     0.00000     0.00000
   -73.53616     0.00000     0.00000     0.00000
   -73.52516     0.00000     0.00000     0.00000
   -73.51416     0.00000     0.00000     0.00000
   -73.50416     0.00000     0.00000     0.00000
   -73.49316     0.00000     0.00000     0.00000
   -73.48216     0.00000     0.00000     0.00000
   -73.47216     0.00000     0.00000     0.00000
   -73.46116     0.00000     0.00000     0.00000
   -73.45016     0.00000     0.00000     0.00000
   -73.43916     0.00000     0.00000     0.00000
   -73.42916     0.00000     0.00000     0.00000
   -73.41816     0.00000     0.00000     0.00000
   -73.40716     0.00000     0.00000     0.00000
   -73.39716     0.00000     0.00000     0.00000
   -73.38616     0.00000     0.00000     0.00000
   -73.37516     0.00000     0.00000     0.00000
   -73.36516     0.00000     0.00000     0.00000
   -73.35416     0.00000     0.00000     0.00000
   -73.34316     0.00000     0.00000     0.00000
   -73.33316     0.00000     0.00000     0.00000
   -73.32216     0.00000     0.00000     0.00000
   -73.31116     0.00000     0.00000     0.00000
   -73.30116     0.00000     0.00000     0.00000
   -73.29016     0.00000     0.00000     0.00000
   -73.27916     0.00000     0.00000     0.00000
   -73.26816     0.00000     0.00000     0.00000
   -73.25816     0.00000     0.00000     0.00000
   -73.24716     0.00000     0.00000     0.00000
   -73.23616     0.00000     0.00000     0.00000
   -73.22616     0.00000     0.00000     0.00000
   -73.21516     0.00000     0.00000     0.00000
   -73.20416     0.00000     0.00000     0.00000
   -73.19416     0.00000     0.00000     0.00000
   -73.18316     0.00000     0.00000     0.00000
   -73.17216     0.00000     0.00000     0.00000
   -73.16216     0.00000     0.00000     0.00000
   -73.15116     0.00000     0.00000     0.00000
   -73.14016     0.00000     0.00000     0.00000
   -73.13016     0.00000     0.00000     0.00000
   -73.11916     0.00000     0.00000     0.00000
   -73.10816     0.00000     0.00000     0.00000
   -73.09716     0.00000     0.00000     0.00000
   -73.08716     0.00000     0.00000     0.00000
   -73.07616     0.00000     0.00000     0.00000
   -73.06516     0.00000     0.00000     0.00000
   -73.05516     0.00000     0.00000     0.00000
   -73.04416     0.00000     0.00000     0.00000
   -73.03316     0.00000     0.00000     0.00000
   -73.02316     0.00000     0.00000     0.00000
   -73.01216     0.00000     0.00000     0.00000
   -73.00116     0.00000     0.00000     0.00000
   -72.99116     0.00000     0.00000     0.00000
   -72.98016     0.00000     0.00000     0.00000
   -72.96916     0.00000     0.00000     0.00000
   -72.95916     0.00000     0.00000     0.00000
   -72.94816     0.00000     0.00000     0.00000
   -72.93716     0.00000     0.00000     0.00000
   -72.92616     0.00000     0.00000     0.00000
   -72.91616     0.00000     0.00000     0.00000
   -72.90516     0.00000     0.00000     0.00000
   -72.89416     0.00000     0.00000     0.00000
   -72.88416     0.00000     0.00000     0.00000
   -72.87316     0.00000     0.00000     0.00000
   -72.86216     0.00000     0.00000     0.00000
   -72.85216     0.00000     0.00000     0.00000
   -72.84116     0.00000     0.00000     0.00000
   -72.83016     0.00000     0.00000     0.00000
   -72.82016     0.00000     0.00000     0.00000
