     #Energy       W_all      Mo_all      Pd_all      Zr_all
   -75.99435     0.00000     0.00000     0.00000     0.00000
   -75.98335     0.00000     0.00000     0.00000     0.00000
   -75.97235     0.00000     0.00000     0.00000     0.00000
   -75.96135     0.00000     0.00000     0.00000     0.00000
   -75.95035     0.00000     0.00000     0.00000     0.00000
   -75.94035     0.00000     0.00000     0.00000     0.00000
   -75.92935     0.00000     0.00000     0.00000     0.00000
   -75.91835     0.00000     0.00000     0.00000     0.00000
   -75.90735     0.00000     0.00000     0.00000     0.00000
   -75.89635     0.00000     0.00000     0.00000     0.00000
   -75.88535     0.00000     0.00000     0.00000     0.00000
   -75.87435     0.00000     0.00000     0.00000     0.00000
   -75.86335     0.00000     0.00000     0.00000     0.00000
   -75.85235     0.00000     0.00000     0.00000     0.00000
   -75.84235     0.00000     0.00000     0.00000     0.00000
   -75.83135     0.00000     0.00000     0.00000     0.00000
   -75.82035     0.00000     0.00000     0.00000     0.00000
   -75.80935     0.00000     0.00000     0.00000     0.00000
   -75.79835     0.00000     0.00000     0.00000     0.00000
   -75.78735     0.00000     0.00000     0.00000     0.00000
   -75.77635     0.00000     0.00000     0.00000     0.00000
   -75.76535     0.00000     0.00000     0.00000     0.00000
   -75.75535     0.00000     0.00000     0.00000     0.00000
   -75.74435     0.00000     0.00000     0.00000     0.00000
   -75.73335     0.00000     0.00000     0.00000     0.00000
   -75.72235     0.00000     0.00000     0.00000     0.00000
   -75.71135     0.00000     0.00000     0.00000     0.00000
   -75.70035     0.00000     0.00000     0.00000     0.00000
   -75.68935     0.00000     0.00000     0.00000     0.00000
   -75.67835     0.00000     0.00000     0.00000     0.00000
   -75.66735     0.00000     0.00000     0.00000     0.00000
   -75.65735     0.00000     0.00000     0.00000     0.00000
   -75.64635     0.00000     0.00000     0.00000     0.00000
   -75.63535     0.00000     0.00000     0.00000     0.00000
   -75.62435     0.00000     0.00000     0.00000     0.00000
   -75.61335     0.00000     0.00000     0.00000     0.00000
   -75.60235     0.00000     0.00000     0.00000     0.00000
   -75.59135     0.00000     0.00000     0.00000     0.00000
   -75.58035     0.00000     0.00000     0.00000     0.00000
   -75.57035     0.00000     0.00000     0.00000     0.00000
   -75.55935     0.00000     0.00000     0.00000     0.00000
   -75.54835     0.00000     0.00000     0.00000     0.00000
   -75.53735     0.00000     0.00000     0.00000     0.00000
   -75.52635     0.00000     0.00000     0.00000     0.00000
   -75.51535     0.00000     0.00000     0.00000     0.00000
   -75.50435     0.00000     0.00000     0.00000     0.00000
   -75.49335     0.00000     0.00000     0.00000     0.00000
   -75.48235     0.00000     0.00000     0.00000     0.00000
   -75.47235     0.00000     0.00000     0.00000     0.00000
   -75.46135     0.00000     0.00000     0.00000     0.00000
   -75.45035     0.00000     0.00000     0.00000     0.00000
   -75.43935     0.00000     0.00000     0.00000     0.00000
   -75.42835     0.00000     0.00000     0.00000     0.00000
   -75.41735     0.00000     0.00000     0.00000     0.00000
   -75.40635     0.00000     0.00000     0.00000     0.00000
   -75.39535     0.00000     0.00000     0.00000     0.00000
   -75.38535     0.00000     0.00000     0.00000     0.00000
   -75.37435     0.00000     0.00000     0.00000     0.00000
   -75.36335     0.00000     0.00000     0.00000     0.00000
   -75.35235     0.00000     0.00000     0.00000     0.00000
   -75.34135     0.00000     0.00000     0.00000     0.00000
   -75.33035     0.00000     0.00000     0.00000     0.00000
   -75.31935     0.00000     0.00000     0.00000     0.00000
   -75.30835     0.00000     0.00000     0.00000     0.00000
   -75.29735     0.00000     0.00000     0.00000     0.00000
   -75.28735     0.00000     0.00000     0.00000     0.00000
   -75.27635     0.00000     0.00000     0.00000     0.00000
   -75.26535     0.00000     0.00000     0.00000     0.00000
   -75.25435     0.00000     0.00000     0.00000     0.00000
   -75.24335     0.00000     0.00000     0.00000     0.00000
   -75.23235     0.00000     0.00000     0.00000     0.00000
   -75.22135     0.00000     0.00000     0.00000     0.00000
   -75.21035     0.00000     0.00000     0.00000     0.00000
   -75.20035     0.00000     0.00000     0.00000     0.00000
   -75.18935     0.00000     0.00000     0.00000     0.00000
   -75.17835     0.00000     0.00000     0.00000     0.00000
   -75.16735     0.00000     0.00000     0.00000     0.00000
   -75.15635     0.00000     0.00000     0.00000     0.00000
   -75.14535     0.00000     0.00000     0.00000     0.00000
   -75.13435     0.00000     0.00000     0.00000     0.00000
   -75.12335     0.00000     0.00000     0.00000     0.00000
   -75.11235     0.00000     0.00000     0.00000     0.00000
   -75.10235     0.00000     0.00000     0.00000     0.00000
   -75.09135     0.00000     0.00000     0.00000     0.00000
   -75.08035     0.00000     0.00000     0.00000     0.00000
   -75.06935     0.00000     0.00000     0.00000     0.00000
   -75.05835     0.00000     0.00000     0.00000     0.00000
   -75.04735     0.00000     0.00000     0.00000     0.00000
   -75.03635     0.00000     0.00000     0.00000     0.00000
   -75.02535     0.00000     0.00000     0.00000     0.00000
   -75.01535     0.00000     0.00000     0.00000     0.00000
   -75.00435     0.00000     0.00000     0.00000     0.00000
   -74.99335     0.00000     0.00000     0.00000     0.00000
   -74.98235     0.00000     0.00000     0.00000     0.00000
   -74.97135     0.00000     0.00000     0.00000     0.00000
   -74.96035     0.00000     0.00000     0.00000     0.00000
   -74.94935     0.00000     0.00000     0.00000     0.00000
   -74.93835     0.00000     0.00000     0.00000     0.00000
   -74.92735     0.00000     0.00000     0.00000     0.00000
   -74.91735     0.00000     0.00000     0.00000     0.00000
   -74.90635     0.00000     0.00000     0.00000     0.00000
   -74.89535     0.00000     0.00000     0.00000     0.00000
   -74.88435     0.00000     0.00000     0.00000     0.00000
   -74.87335     0.00000     0.00000     0.00000     0.00000
   -74.86235     0.00000     0.00000     0.00000     0.00000
   -74.85135     0.00000     0.00000     0.00000     0.00000
   -74.84035     0.00000     0.00000     0.00000     0.00000
   -74.83035     0.00000     0.00000     0.00000     0.00000
   -74.81935     0.00000     0.00000     0.00000     0.00000
   -74.80835     0.00000     0.00000     0.00000     0.00000
   -74.79735     0.00000     0.00000     0.00000     0.00000
   -74.78635     0.00000     0.00000     0.00000     0.00000
   -74.77535     0.00000     0.00000     0.00000     0.00000
   -74.76435     0.00000     0.00000     0.00000     0.00000
   -74.75335     0.00000     0.00000     0.00000     0.00000
   -74.74235     0.00000     0.00000     0.00000     0.00000
   -74.73235     0.00000     0.00000     0.00000     0.00000
   -74.72135     0.00000     0.00000     0.00000     0.00000
   -74.71035     0.00000     0.00000     0.00000     0.00000
   -74.69935     0.00000     0.00000     0.00000     0.00000
   -74.68835     0.00000     0.00000     0.00000     0.00000
   -74.67735     0.00000     0.00000     0.00000     0.00000
   -74.66635     0.00000     0.00000     0.00000     0.00000
   -74.65535     0.00000     0.00000     0.00000     0.00000
   -74.64535     0.00000     0.00000     0.00000     0.00000
   -74.63435     0.00000     0.00000     0.00000     0.00000
   -74.62335     0.00000     0.00000     0.00000     0.00000
   -74.61235     0.00000     0.00000     0.00000     0.00000
   -74.60135     0.00000     0.00000     0.00000     0.00000
   -74.59035     0.00000     0.00000     0.00000     0.00000
   -74.57935     0.00000     0.00000     0.00000     0.00000
   -74.56835     0.00000     0.00000     0.00000     0.00000
   -74.55735     0.00000     0.00000     0.00000     0.00000
   -74.54735     0.00000     0.00000     0.00000     0.00000
   -74.53635     0.00000     0.00000     0.00000     0.00000
   -74.52535     0.00000     0.00000     0.00000     0.00000
   -74.51435     0.00000     0.00000     0.00000     0.00000
   -74.50335     0.00000     0.00000     0.00000     0.00000
