     #Energy       W_all      Mo_all      Ti_all      Pt_all
   -74.57579     0.00000     0.00000     0.00000     0.00000
   -74.56479     0.00000     0.00000     0.00000     0.00000
   -74.55479     0.00000     0.00000     0.00000     0.00000
   -74.54379     0.00000     0.00000     0.00000     0.00000
   -74.53279     0.00000     0.00000     0.00000     0.00000
   -74.52279     0.00000     0.00000     0.00000     0.00000
   -74.51179     0.00000     0.00000     0.00000     0.00000
   -74.50079     0.00000     0.00000     0.00000     0.00000
   -74.49079     0.00000     0.00000     0.00000     0.00000
   -74.47979     0.00000     0.00000     0.00000     0.00000
   -74.46979     0.00000     0.00000     0.00000     0.00000
   -74.45879     0.00000     0.00000     0.00000     0.00000
   -74.44779     0.00000     0.00000     0.00000     0.00000
   -74.43779     0.00000     0.00000     0.00000     0.00000
   -74.42679     0.00000     0.00000     0.00000     0.00000
   -74.41579     0.00000     0.00000     0.00000     0.00000
   -74.40579     0.00000     0.00000     0.00000     0.00000
   -74.39479     0.00000     0.00000     0.00000     0.00000
   -74.38379     0.00000     0.00000     0.00000     0.00000
   -74.37379     0.00000     0.00000     0.00000     0.00000
   -74.36279     0.00000     0.00000     0.00000     0.00000
   -74.35179     0.00000     0.00000     0.00000     0.00000
   -74.34179     0.00000     0.00000     0.00000     0.00000
   -74.33079     0.00000     0.00000     0.00000     0.00000
   -74.31979     0.00000     0.00000     0.00000     0.00000
   -74.30979     0.00000     0.00000     0.00000     0.00000
   -74.29879     0.00000     0.00000     0.00000     0.00000
   -74.28779     0.00000     0.00000     0.00000     0.00000
   -74.27779     0.00000     0.00000     0.00000     0.00000
   -74.26679     0.00000     0.00000     0.00000     0.00000
   -74.25679     0.00000     0.00000     0.00000     0.00000
   -74.24579     0.00000     0.00000     0.00000     0.00000
   -74.23479     0.00000     0.00000     0.00000     0.00000
   -74.22479     0.00000     0.00000     0.00000     0.00000
   -74.21379     0.00000     0.00000     0.00000     0.00000
   -74.20279     0.00000     0.00000     0.00000     0.00000
   -74.19279     0.00000     0.00000     0.00000     0.00000
   -74.18179     0.00000     0.00000     0.00000     0.00000
   -74.17079   187.31310     0.00338     0.00004     0.00662
   -74.16079     0.00000     0.00000     0.00000     0.00000
   -74.14979     0.00000     0.00000     0.00000     0.00000
   -74.13879     0.00000     0.00000     0.00000     0.00000
   -74.12879     0.00000     0.00000     0.00000     0.00000
   -74.11779     0.00000     0.00000     0.00000     0.00000
   -74.10679     0.00000     0.00000     0.00000     0.00000
   -74.09679   187.26984     0.00771     0.00006     0.00432
   -74.08579   187.27754     0.01002     0.00001     0.00387
   -74.07479     0.00000     0.00000     0.00000     0.00000
   -74.06479   187.33157     0.01087     0.00001     0.00388
   -74.05379   187.30466     0.00769     0.00002     0.00299
   -74.04379   187.36415     0.00615     0.00000     0.00236
   -74.03279   187.35525     0.00702     0.00001     0.00432
   -74.02179   187.27623     0.00698     0.00063     0.00267
   -74.01179   187.27603     0.00767     0.00012     0.00295
   -74.00079   187.31532     0.00592     0.00032     0.00382
   -73.98979   187.33246     0.00664     0.00037     0.00453
   -73.97979   187.36578     0.00503     0.00009     0.00338
   -73.96879   187.37312     0.00518     0.00010     0.00338
   -73.95779   187.43606     0.00650     0.00030     0.00363
   -73.94779   187.43779     0.00529     0.00029     0.00418
   -73.93679   187.40389     0.00372     0.00008     0.00096
   -73.92579     0.00000     0.00000     0.00000     0.00000
   -73.91579   187.41306     0.00385     0.00007     0.00062
   -73.90479     0.00000     0.00000     0.00000     0.00000
   -73.89379     0.00000     0.00000     0.00000     0.00000
   -73.88379     0.00000     0.00000     0.00000     0.00000
   -73.87279   187.31306     0.00642     0.00065     0.00055
   -73.86179     0.00000     0.00000     0.00000     0.00000
   -73.85179   187.32378     0.00407     0.00064     0.00252
   -73.84079   187.46317     0.00451     0.00051     0.00164
   -73.83079     0.00000     0.00000     0.00000     0.00000
   -73.81979   187.44309     0.00353     0.00066     0.00215
   -73.80879     0.00000     0.00000     0.00000     0.00000
   -73.79879     0.00000     0.00000     0.00000     0.00000
   -73.78779     0.00000     0.00000     0.00000     0.00000
   -73.77679     0.00000     0.00000     0.00000     0.00000
   -73.76679     0.00000     0.00000     0.00000     0.00000
   -73.75579     0.00000     0.00000     0.00000     0.00000
   -73.74479     0.00000     0.00000     0.00000     0.00000
   -73.73479     0.00000     0.00000     0.00000     0.00000
   -73.72379     0.00000     0.00000     0.00000     0.00000
   -73.71279     0.00000     0.00000     0.00000     0.00000
   -73.70279     0.00000     0.00000     0.00000     0.00000
   -73.69179     0.00000     0.00000     0.00000     0.00000
   -73.68079     0.00000     0.00000     0.00000     0.00000
   -73.67079     0.00000     0.00000     0.00000     0.00000
   -73.65979     0.00000     0.00000     0.00000     0.00000
   -73.64879     0.00000     0.00000     0.00000     0.00000
   -73.63879     0.00000     0.00000     0.00000     0.00000
   -73.62779     0.00000     0.00000     0.00000     0.00000
   -73.61779     0.00000     0.00000     0.00000     0.00000
   -73.60679     0.00000     0.00000     0.00000     0.00000
   -73.59579     0.00000     0.00000     0.00000     0.00000
   -73.58579     0.00000     0.00000     0.00000     0.00000
   -73.57479     0.00000     0.00000     0.00000     0.00000
   -73.56379     0.00000     0.00000     0.00000     0.00000
   -73.55379     0.00000     0.00000     0.00000     0.00000
   -73.54279     0.00000     0.00000     0.00000     0.00000
   -73.53179     0.00000     0.00000     0.00000     0.00000
   -73.52179     0.00000     0.00000     0.00000     0.00000
   -73.51079     0.00000     0.00000     0.00000     0.00000
   -73.49979     0.00000     0.00000     0.00000     0.00000
   -73.48979     0.00000     0.00000     0.00000     0.00000
   -73.47879     0.00000     0.00000     0.00000     0.00000
   -73.46779     0.00000     0.00000     0.00000     0.00000
   -73.45779     0.00000     0.00000     0.00000     0.00000
   -73.44679     0.00000     0.00000     0.00000     0.00000
   -73.43579     0.00000     0.00000     0.00000     0.00000
   -73.42579     0.00000     0.00000     0.00000     0.00000
   -73.41479     0.00000     0.00000     0.00000     0.00000
   -73.40479     0.00000     0.00000     0.00000     0.00000
   -73.39379     0.00000     0.00000     0.00000     0.00000
   -73.38279     0.00000     0.00000     0.00000     0.00000
   -73.37279     0.00000     0.00000     0.00000     0.00000
