     #Energy        Hf_s        Ta_s       Hf_py       Ta_py       Hf_pz       Ta_pz       Hf_px       Ta_px      Hf_dxy      Ta_dxy      Hf_dyz      Ta_dyz      Hf_dz2      Ta_dz2      Hf_dxz      Ta_dxz      Hf_dx2      Ta_dx2
   -31.27855    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.14055    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.00355    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.86655    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.72955    -0.00000    -0.00000    -0.00735    -0.00002    -0.00766    -0.00003    -0.00820    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.59255    -0.00013    -0.00015    -0.46485    -0.00126    -0.48531    -0.00206    -0.54239    -0.00142    -0.00008    -0.00005    -0.00009    -0.00005    -0.00002    -0.00005    -0.00008    -0.00006    -0.00003    -0.00003
   -30.45555     0.00174     0.00203     6.61537     0.01545     7.05633     0.02935     7.82488     0.01825     0.00113     0.00061     0.00120     0.00065     0.00035     0.00080     0.00115     0.00075     0.00037     0.00039
   -30.31855     0.00913     0.01087    31.57880     0.11362    30.24820     0.13686    34.84880     0.11306     0.00517     0.00484     0.00565     0.00481     0.00164     0.00240     0.00567     0.00469     0.00173     0.00169
   -30.18155     0.01281     0.01605    41.27060     0.19476    45.06200     0.17895    36.54200     0.18359     0.00685     0.00877     0.00666     0.00809     0.00236     0.00260     0.00733     0.00798     0.00216     0.00168
   -30.04355     0.01264     0.02188    59.71250     0.29364    74.94320     0.27517    67.52660     0.27504     0.00723     0.01595     0.00763     0.01586     0.00325     0.00260     0.00771     0.01524     0.00324     0.00248
   -29.90655     0.00965     0.01307    80.55300     0.20614    60.11700     0.21175    69.79700     0.20014     0.00632     0.01500     0.00630     0.01480     0.00241     0.00261     0.00732     0.01433     0.00258     0.00203
   -29.76955     0.00407     0.00459    38.95950     0.08011    39.23209     0.08039    42.11370     0.08525     0.00481     0.00677     0.00494     0.00622     0.00151     0.00175     0.00479     0.00644     0.00095     0.00075
   -29.63255    -0.00006    -0.00017    -1.29671    -0.00295     0.86798    -0.00103    -1.13917    -0.00271    -0.00002    -0.00024    -0.00004    -0.00008     0.00006     0.00000    -0.00005    -0.00008    -0.00004    -0.00003
   -29.49555    -0.00002    -0.00001    -0.09996    -0.00020    -0.22486    -0.00032    -0.11974    -0.00023    -0.00002    -0.00002    -0.00002    -0.00002    -0.00001    -0.00001    -0.00002    -0.00002    -0.00000    -0.00000
   -29.35855    -0.00000    -0.00000    -0.00011    -0.00000    -0.00042    -0.00000    -0.00012    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
