     #Energy        Cr_s        Mo_s       Cr_py       Mo_py       Cr_pz       Mo_pz       Cr_px       Mo_px      Cr_dxy      Mo_dxy      Cr_dyz      Mo_dyz      Cr_dz2      Mo_dz2      Cr_dxz      Mo_dxz      Cr_dx2      Mo_dx2
   -43.89107    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -43.66007    -0.00001    -0.00000    -0.02651    -0.00001    -0.03213    -0.00001    -0.03180    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -43.42807     0.00141     0.00058     4.64445     0.00207     5.34196     0.00163     5.56963     0.00164     0.00043     0.00044     0.00042     0.00050     0.00016     0.00017     0.00034     0.00039     0.00013     0.00024
   -43.19707     0.00845     0.01927    73.47300     0.05472    71.66900     0.05693    71.82700     0.05513     0.00571     0.01371     0.00576     0.01413     0.00123     0.00269     0.00588     0.01438     0.00132     0.00258
   -42.96607     0.00732     0.00927    73.95300     0.03367    75.59300     0.03161    74.89800     0.03326     0.00755     0.01281     0.00741     0.01216     0.00035     0.00106     0.00772     0.01196     0.00039     0.00104
   -42.73507     0.00010     0.00000     2.27484    -0.00001     1.74726     0.00004     2.05839     0.00001     0.00010    -0.00001     0.00014     0.00001     0.00000     0.00000     0.00007     0.00001    -0.00000     0.00000
   -42.50407    -0.00000    -0.00000    -0.00829    -0.00000    -0.00736    -0.00000    -0.00781    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -42.27207    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -42.04107     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.81007     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
