     #Energy        Mo_s        Ta_s       Mo_py       Ta_py       Mo_pz       Ta_pz       Mo_px       Ta_px      Mo_dxy      Ta_dxy      Mo_dyz      Ta_dyz      Mo_dz2      Ta_dz2      Mo_dxz      Ta_dxz      Mo_dx2      Ta_dx2
   -41.15685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.92385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.69085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.45685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.22385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.99085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.75685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.52385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.29085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.05685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.82385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.59085     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.35685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.12385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.88985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.65685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.42385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.18985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.95685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.72385     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.48985     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.25685     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.02385    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.78985    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.55685    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.32385    -0.00000    -0.00000    -0.00830    -0.00039    -0.01323    -0.00033    -0.00760    -0.00043    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.08985     0.00072     0.00030     1.64614     0.07018     2.21855     0.04031     1.38705     0.07290     0.00057     0.00031     0.00014     0.00010     0.00020     0.00005     0.00031     0.00019     0.00009     0.00011
   -34.85685     0.01167     0.01130    29.25220     1.77019    28.74470     1.54286    29.49150     1.80190     0.00726     0.00541     0.00795     0.00518     0.00268     0.00239     0.00768     0.00494     0.00243     0.00277
   -34.62385     0.01589     0.01791    31.65130     4.21327    31.88130     5.03980    31.50070     4.35543     0.00995     0.00880     0.00982     0.00926     0.00304     0.00286     0.00896     0.01032     0.00327     0.00251
   -34.38985     0.01774     0.02004    41.41700     5.27822    41.47140     4.45406    41.96410     4.87650     0.01567     0.01697     0.01571     0.01773     0.00215     0.00220     0.01581     0.01611     0.00227     0.00234
   -34.15685     0.00930     0.00736    34.23600     2.75736    33.72500     2.97814    33.51700     2.64455     0.01310     0.00886     0.01383     0.00907     0.00091     0.00071     0.01509     0.00949     0.00069     0.00085
   -33.92285     0.00513     0.00882     2.00419    13.60010     2.05635    13.96290     2.27082    14.96830     0.00424     0.00662     0.00406     0.00647     0.00137     0.00105     0.00361     0.00648     0.00145     0.00098
   -33.68985     0.01819     0.01450     4.36230    33.59660     4.39260    34.16930     4.48140    32.05100     0.01846     0.01441     0.01684     0.01312     0.00195     0.00184     0.01696     0.01386     0.00219     0.00149
   -33.45685     0.01556     0.01168     5.95606    49.27090     6.12074    46.36250     5.93217    50.56080     0.02313     0.01303     0.02440     0.01306     0.00141     0.00143     0.02419     0.01337     0.00150     0.00156
   -33.22285     0.00544     0.00749     1.49289    31.50000     1.41443    32.97550     1.47491    30.71410     0.00828     0.00897     0.00838     0.00960     0.00062     0.00059     0.00812     0.00891     0.00067     0.00047
   -32.98985     0.00075     0.00199     0.13653     9.36221     0.13478     9.92807     0.13348     9.40579     0.00101     0.00247     0.00107     0.00222     0.00009     0.00008     0.00118     0.00238     0.00010     0.00006
   -32.75685    -0.00001    -0.00004    -0.00197    -0.15426    -0.00195    -0.19083    -0.00200    -0.18344    -0.00001    -0.00005    -0.00002    -0.00004    -0.00000    -0.00000    -0.00002    -0.00004    -0.00000    -0.00000
   -32.52285    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00001    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
